dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,0,0.805184,935.621,6.37165,2.45344,945.396,945.252
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,1,0.762528,939.453,6.32707,1.74698,948.428,948.29
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,2,0.764768,903.262,6.31847,1.74282,912.229,912.088
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,3,0.761536,881.253,6.32827,1.74685,890.232,890.089
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,4,0.760928,880.97,6.33679,1.74378,889.951,889.812
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,5,0.762112,900.782,6.32814,1.7448,909.76,909.617
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,6,0.770144,875.967,6.36048,1.76432,885.031,884.862
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,7,0.77232,899.826,6.33924,1.75098,908.832,908.689
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,8,0.761536,886.998,6.29636,1.74384,895.945,895.8
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,9,0.764288,879.104,6.33584,1.7448,888.088,887.949
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,10,0.761952,892.969,6.32435,1.74486,901.935,901.8
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,11,0.761152,876.485,6.30532,1.74381,885.431,885.295
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,12,0.761344,917.869,6.32938,1.74282,926.847,926.703
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,13,0.77232,888.073,6.37787,1.76528,897.149,896.988
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,14,0.760352,899.653,6.32122,1.75094,908.627,908.485
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,15,0.773376,876.471,6.31821,1.74285,885.442,885.305
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,16,0.768096,925.353,6.32565,1.7408,934.326,934.187
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,17,0.76304,911.003,6.31558,1.7449,919.963,919.827
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,18,0.772096,869.06,6.3337,1.74486,878.057,877.91
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,19,0.761056,884.265,6.27431,1.74483,893.182,893.045
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,20,0.762144,897.772,6.33635,1.74182,906.751,906.613
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,21,0.763904,936.446,6.34204,1.74285,945.432,945.295
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,22,0.762304,874.394,6.319,1.74582,883.357,883.221
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,23,0.764128,928.086,6.34305,1.74483,937.075,936.938
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,24,0.76864,892.225,6.31549,1.74589,901.193,901.055
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,25,0.768032,898.974,6.38476,1.76838,908.055,907.895
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,26,0.762304,899.27,6.3502,1.752,908.275,908.135
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,27,0.7632,892.515,6.33565,1.74586,901.498,901.36
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,28,0.76128,907.146,6.31026,1.74586,916.099,915.964
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,406,29,0.763552,878.437,6.30904,1.74794,887.395,887.257
