dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,0,23.0268,196.892,1.85969,0.697344,222.649,222.476
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,1,21.6978,119.229,1.82009,0.273376,142.998,143.021
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,2,21.7005,122.929,1.81273,0.271296,146.632,146.714
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,3,21.7124,125.954,1.80852,0.271296,149.844,149.746
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,4,21.453,120.129,1.80636,0.271328,143.696,143.66
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,5,21.6928,117.781,1.8039,0.270272,141.576,141.548
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,6,21.4416,123.35,1.81085,0.272352,146.976,146.874
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,7,21.4084,122.907,1.80799,0.274432,146.495,146.398
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,8,21.498,115.099,1.81421,0.270272,138.719,138.682
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,9,21.7277,128.522,1.81962,0.272352,152.391,152.342
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,10,21.7359,117.937,1.81623,0.271328,141.729,141.761
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,11,21.4674,120.506,1.81305,0.270272,144.151,144.057
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,12,21.4391,126.511,1.80831,0.27232,150.111,150.031
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,13,22.78,117.152,1.82516,0.275424,142.155,142.033
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,14,21.4374,132.1,1.87266,0.276448,155.769,155.687
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,15,21.4641,125.589,1.80911,0.270304,149.214,149.132
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,16,21.9315,127.79,1.83223,0.273408,151.935,151.827
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,17,21.4462,132.116,1.80764,0.273376,155.717,155.644
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,18,21.4611,136.886,1.81224,0.27232,160.524,160.432
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,19,21.6678,126.205,1.80262,0.272384,149.997,149.948
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,20,21.556,126.602,1.8115,0.270272,150.26,150.24
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,21,21.4339,134.892,1.80819,0.273344,158.433,158.407
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,22,21.4424,120.259,1.80687,0.271296,143.799,143.78
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,23,21.7432,135.331,1.80472,0.273376,159.065,159.152
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,24,21.391,116.134,1.80559,0.26928,139.694,139.6
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,25,21.7048,134.52,1.79934,0.270336,158.366,158.294
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,26,21.7852,128.725,1.82668,0.271328,152.716,152.608
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,27,21.7171,133.385,1.82854,0.2816,157.226,157.212
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,28,21.7636,132.376,1.87209,0.274368,156.277,156.286
3,double,uniform,CPU,"D | D | D | D | D | D",6,323,29,21.5623,118.77,1.80448,0.271296,142.469,142.408
