dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,0,0.905216,0,2890.74,1.31584,2893.13,2892.96
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,1,0.822272,0,2353.83,0.784384,2355.53,2355.44
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,2,0.834752,0,2347.85,0.802912,2349.6,2349.49
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,3,0.83456,0,2357.5,0.78336,2359.23,2359.11
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,4,0.826112,0,2359.57,0.787456,2361.27,2361.18
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,5,0.825408,0,2361.6,0.77824,2363.29,2363.2
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,6,0.839264,0,2360.27,0.771072,2361.09,2361.88
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,7,0.824288,0,2354.89,0.77312,2356.58,2356.49
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,8,0.822048,0,2338.98,0.774144,2340.67,2340.58
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,9,0.833056,0,2352.25,0.79456,2353.99,2353.87
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,10,0.822176,0,2351.88,0.776128,2353.57,2353.48
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,11,0.829696,0,2344.63,0.794624,2346.37,2346.26
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,12,0.824192,0,2347.73,0.77824,2349.42,2349.34
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,13,0.82352,0,2343.51,0.77312,2345.19,2345.1
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,14,0.823648,0,2355.72,0.778176,2357.41,2357.32
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,15,0.825248,0,2351.47,0.777216,2353.16,2353.07
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,16,0.824256,0,2491.46,0.774144,2471.24,2493.06
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,17,0.832928,0,2362.18,0.784384,2363.91,2363.8
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,18,0.823008,0,2370.6,0.786464,2372.3,2372.21
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,19,0.822048,0,2354.98,0.774176,2356.67,2356.58
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,20,0.82208,0,2518.81,0.768,2493.18,2520.4
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,21,0.822368,0,2359.97,0.777216,2361.66,2361.57
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,22,0.821856,0,2514.55,0.769024,2495.9,2516.14
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,23,0.828256,0,2367.67,0.780288,2369.37,2369.28
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,24,0.834464,0,2347.86,0.796672,2349.6,2349.49
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,25,0.82416,0,2343.49,0.775168,2345.18,2345.09
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,26,0.825472,0,2351.32,0.77824,2353.02,2352.93
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,27,0.820864,0,2353.92,0.763936,2355.57,2355.51
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,28,0.818784,0,2350.17,0.765952,2351.43,2351.75
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,29,0.827488,0,2344.21,0.776192,2345.9,2345.81
