dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,0,63.9237,777.405,6.14329,2.4135,850.057,849.885
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,1,64.2902,770.437,6.14397,1.75203,842.765,842.623
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,2,63.7285,769.258,6.15964,1.75002,841.02,840.896
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,3,63.822,782.017,6.14488,1.7551,853.808,853.739
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,4,63.5569,819.318,6.13945,1.7521,890.908,890.766
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,5,63.734,774.971,6.12158,1.7551,846.616,846.582
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,6,63.8776,774.824,6.14125,1.76736,846.776,846.61
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,7,63.9317,734.519,6.20891,1.76333,806.567,806.423
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,8,63.8085,778.248,6.12197,1.74992,849.955,849.929
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,9,63.8578,737.157,6.12218,1.75306,808.925,808.89
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,10,64.7339,764.28,6.15726,1.75302,837.06,836.924
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,11,63.7418,762.75,6.15396,1.752,834.538,834.398
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,12,63.7083,759.331,6.15377,1.75098,831.073,830.944
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,13,64.3743,759.421,6.13004,1.75101,831.459,831.677
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,14,64.3956,755.424,6.16896,1.76125,827.904,827.75
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,15,63.8516,752.85,6.18442,1.76224,824.789,824.648
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,16,64.3331,741.576,6.13554,1.74893,813.911,813.793
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,17,64.3987,755.583,6.1238,1.752,827.991,827.858
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,18,63.9482,763.472,6.15705,1.75302,835.465,835.33
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,19,63.6975,768.584,6.15085,1.75104,840.328,840.183
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,20,63.8468,785.629,6.13513,1.75206,857.497,857.363
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,21,63.5249,772.499,6.13133,1.75098,844.002,843.907
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,22,63.7629,774.701,6.11949,1.7479,846.439,846.331
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,23,63.9413,759.36,6.13423,1.74899,831.318,831.184
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,24,64.1013,788.629,6.14244,1.75206,860.76,860.625
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,25,63.6474,793.355,6.14691,1.75002,865.033,864.899
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,26,64.1747,773.206,6.16224,1.75005,845.43,845.293
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,27,64.9276,794.717,6.11505,1.75299,866.787,867.513
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,28,65.0884,765.089,6.0947,1.752,838.157,838.024
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,29,63.7499,766.523,6.13009,1.75094,838.286,838.154
