dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,0,0.838304,0,2958.45,1.27795,2959.6,2960.57
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,1,0.760544,0,2673.88,0.756736,2637.47,2675.4
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,2,0.769984,0,2507.72,0.767968,2508.52,2509.26
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,3,0.757984,0,2478.07,0.7424,2478.78,2479.58
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,4,0.766496,0,2458.6,0.766976,2456.23,2460.13
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,5,0.76512,0,2469.45,0.75776,2467.21,2470.97
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,6,0.757088,0,2473.84,0.750592,2475.44,2475.35
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,7,0.767488,0,2461.12,0.763904,2461.13,2462.65
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,8,0.754528,0,2456.16,0.743424,2455.3,2457.66
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,9,0.754944,0,2456.03,0.7424,2454.94,2457.52
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,10,0.768352,0,2446.78,0.750592,2446.91,2448.3
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,11,0.755904,0,2452.76,0.751616,2451.96,2454.27
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,12,0.75696,0,2455.58,0.74752,2454.07,2457.08
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,13,0.77072,0,2450.83,0.750592,2451.33,2452.35
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,14,0.7584,0,2455.69,0.752608,2455.73,2457.21
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,15,0.756288,0,2450.64,0.748544,2450.41,2452.14
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,16,0.757632,0,2449.27,0.742368,2448,2450.77
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,17,0.754752,0,2449,0.745472,2449.18,2450.5
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,18,0.75488,0,2450.89,0.744448,2450.85,2452.39
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,19,0.756832,0,2450.9,0.7424,2449.98,2452.4
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,20,0.756992,0,2450.94,0.746464,2451.47,2452.44
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,21,0.757664,0,2449.88,0.744448,2449.54,2451.38
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,22,0.75568,0,2456.71,0.741376,2456.6,2458.21
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,23,0.761728,0,2649.96,0.746496,2616.94,2651.46
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,24,0.756384,0,2452.2,0.7424,2451.95,2453.7
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,25,0.755136,0,2452.47,0.7424,2452.96,2453.96
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,26,0.756992,0,2449.78,0.7424,2448.43,2451.28
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,27,0.758656,0,2652.65,0.744416,2617.6,2654.15
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,28,0.756,0,2449.19,0.745472,2449.28,2450.69
3,double,uniform,GPU,"D | D | D | D | D | D",4,406,29,0.755232,0,2448.88,0.741376,2448.59,2450.38
