dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,0,0.831776,307.972,1.4561,0.449504,308.796,310.71
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,1,0.305632,194.196,1.4609,0.191456,192,196.154
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,2,0.314624,315.367,1.4502,0.191488,317.953,317.323
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,3,0.306464,208.436,1.4553,0.191488,199.37,210.389
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,4,0.310112,197.658,1.45946,0.188416,196.673,199.616
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,5,0.311872,193.847,1.45008,0.193536,196.452,195.803
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,6,0.304864,189.92,1.46992,0.185344,192.191,191.881
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,7,0.302208,198.263,1.45666,0.188416,199.521,200.21
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,8,0.30672,193.75,1.45429,0.187392,193.246,195.698
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,9,0.315872,187.552,1.45511,0.19456,190.153,189.518
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,10,0.307872,200.107,1.4666,0.192512,199.856,202.074
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,11,0.31408,202.638,1.48364,0.188416,204.224,204.624
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,12,0.309152,201.567,1.45677,0.193568,204.167,203.527
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,13,0.306976,201.328,1.4536,0.188416,201.983,203.277
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,14,0.307104,194.25,1.45947,0.187392,196.128,196.204
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,15,0.304928,197.323,1.45349,0.189472,198.764,199.271
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,16,0.307776,195.114,1.45945,0.196608,197.553,197.078
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,17,0.310048,191.776,1.46188,0.19664,194.387,193.745
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,18,0.31008,205.01,1.45255,0.18944,200.454,206.962
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,19,0.306368,204.646,1.45407,0.191488,204.045,206.598
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,20,0.306176,195.79,1.44888,0.194592,196.633,197.74
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,21,0.311968,197.188,1.45986,0.191456,199.783,199.152
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,22,0.309696,201.024,1.46508,0.195552,203.547,202.994
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,23,0.308928,205.213,1.44976,0.195584,199.593,207.167
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,24,0.31488,195.437,1.46081,0.192512,198.036,197.405
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,25,0.305248,190.176,1.45439,0.186368,192.314,192.122
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,26,0.306336,193.248,1.45225,0.188416,195.345,195.195
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,27,0.302592,206.918,1.45108,0.184288,206.715,208.856
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,28,0.308224,203.294,1.45822,0.19456,205.009,205.255
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,29,0.308032,193.378,1.45897,0.19664,195.971,195.342
