dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,0,0.67984,12.787,1.54922,0.330752,15.3245,15.3468
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,1,0.21376,2.4475,1.55573,0.2048,4.49372,4.42179
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,2,0.215424,2.44394,1.59879,0.211968,4.53951,4.47013
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,3,0.219488,2.4805,1.54564,0.203776,4.52569,4.44941
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,4,0.218976,2.52919,1.55878,0.202752,4.5858,4.5097
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,5,0.217824,2.47578,1.54776,0.205824,4.52093,4.44719
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,6,0.216192,2.51043,1.54757,0.203776,4.55825,4.47796
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,7,0.218304,2.46189,1.55564,0.202752,4.51384,4.43859
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,8,0.226304,2.47358,1.54403,0.202752,4.49827,4.44667
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,9,0.221408,2.45971,1.54581,0.21504,4.5263,4.44197
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,10,0.215488,2.46853,1.54801,0.203776,4.5167,4.43581
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,11,0.217856,2.48514,1.54827,0.203776,4.52947,4.45504
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,12,0.216544,2.46679,1.58577,0.205824,4.5089,4.47493
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,13,0.217632,2.50674,1.55124,0.200704,4.56602,4.47631
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,14,0.219808,2.44285,1.55563,0.2048,4.49078,4.42309
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,15,0.217248,2.46316,1.56205,0.203776,4.52173,4.44624
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,16,0.219872,2.46601,1.54751,0.205824,4.51702,4.43922
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,17,0.218208,2.44489,1.55376,0.202752,4.49197,4.41961
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,18,0.21744,2.44213,1.54793,0.201728,4.4903,4.40923
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,19,0.21728,2.4689,1.54708,0.208896,4.51978,4.44215
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,20,0.22448,2.49176,1.54537,0.203776,4.52279,4.46539
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,21,0.21728,2.49672,1.55034,0.202752,4.54727,4.4671
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,22,0.213856,2.43324,1.55259,0.202752,4.47166,4.40244
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,23,0.216352,2.44682,1.55324,0.2048,4.48828,4.42121
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,24,0.2152,2.44168,1.55172,0.202752,4.48909,4.41135
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,25,0.220352,2.44097,1.54312,0.201728,4.48626,4.40617
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,26,0.215648,2.46804,1.55177,0.205824,4.52359,4.44129
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,27,0.2168,2.48956,1.55546,0.201728,4.50104,4.46355
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,28,0.216384,2.49925,1.55613,0.202752,4.5064,4.47451
3,double,uniform,GPU,"D | D | D | D | N | D",4,256,29,0.218272,2.55125,1.54608,0.202752,4.59244,4.51835
