dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,0,0.621504,208.105,1.17005,0.57856,207.475,210.475
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,1,0.191776,127.887,1.1652,0.37888,125.563,129.623
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,2,0.1896,128.879,1.15506,0.376832,125.276,130.6
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,3,0.184256,120.485,1.16063,0.379904,122.32,122.209
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,4,0.186528,123.109,1.14819,0.369632,118.026,124.813
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,5,0.184704,126.812,1.15708,0.371712,128.403,128.525
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,6,0.186688,127.275,1.16446,0.375808,125.34,129.002
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,7,0.188576,110.453,1.1535,0.373696,112.176,112.168
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,8,0.192704,116.821,1.16068,0.374784,118.608,118.549
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,9,0.19424,116.101,1.15591,0.379904,117.899,117.831
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,10,0.181504,122.344,1.15589,0.370592,124.156,124.052
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,11,0.192768,112.515,1.15525,0.375808,109.911,114.238
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,12,0.178848,105.402,1.14644,0.371648,107.205,107.099
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,13,0.191584,108.321,1.16017,0.380928,107.234,110.054
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,14,0.196704,110.722,1.15729,0.3696,112.558,112.446
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,15,0.188448,109.187,1.15222,0.37376,106.763,110.901
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,16,0.191264,117.378,1.14589,0.377856,107.151,119.093
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,17,0.195456,111.307,1.17121,0.375808,113.134,113.049
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,18,0.184864,108.255,1.14552,0.368544,108.063,109.954
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,19,0.19296,106.489,1.17115,0.380928,108.2,108.234
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,20,0.194816,112.491,1.17329,0.376832,114.31,114.236
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,21,0.188544,109.142,1.1805,0.384,110.917,110.895
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,22,0.190944,105.368,1.15877,0.37264,107.208,107.091
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,23,0.19456,104.998,1.16574,0.384,106.815,106.742
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,24,0.193792,109.146,1.17277,0.379904,110.993,110.893
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,25,0.182944,110.537,1.14051,0.367584,104.206,112.228
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,26,0.19008,112.392,1.15662,0.379904,109.374,114.118
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,27,0.189952,105.814,1.14419,0.371712,106.72,107.52
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,28,0.181216,104.519,1.14172,0.369664,106.315,106.212
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,29,0.189856,108.598,1.1645,0.376832,110.418,110.329
