dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,0,27.657,0,1805.32,0.80384,1833.9,1833.78
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,1,27.6964,0,1577.08,0.513024,1605.35,1605.29
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,2,27.8306,0,1576.44,0.507904,1604.85,1604.78
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,3,27.5806,0,1577.17,0.505856,1605.33,1605.25
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,4,27.706,0,1576.52,0.50688,1604.81,1604.73
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,5,27.5696,0,1576.46,0.510976,1604.61,1604.54
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,6,28.0354,0,1576.44,0.507904,1605.05,1604.98
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,7,27.8052,0,1576.86,0.503808,1605.23,1605.16
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,8,27.7816,0,1577.13,0.514048,1605.51,1605.42
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,9,27.7297,0,1578.06,0.504832,1606.36,1606.3
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,10,27.7375,0,1577.76,0.509952,1606.08,1606.01
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,11,27.9657,0,1578.97,0.507904,1607.52,1607.45
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,12,27.5896,0,1576.87,0.514048,1605.06,1604.98
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,13,27.6043,0,1577.31,0.510976,1605.49,1605.42
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,14,27.668,0,1576.99,0.505856,1605.24,1605.17
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,15,27.7861,0,1576.5,0.500736,1604.86,1604.79
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,16,28.1626,0,1576.52,0.50688,1605.27,1605.19
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,17,27.5939,0,1577.6,0.505856,1605.78,1605.7
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,18,27.9773,0,1576.82,0.508928,1605.37,1605.31
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,19,27.6366,0,1577.73,0.503808,1605.95,1605.87
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,20,27.4545,0,1576.93,0.509952,1604.96,1604.89
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,21,27.4752,0,1577.1,0.505856,1605.15,1605.08
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,22,27.8924,0,1576.86,0.512,1605.34,1605.26
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,23,27.6513,0,1577.33,0.508928,1605.56,1605.49
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,24,27.883,0,1577.27,0.509952,1605.74,1605.67
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,25,27.4286,0,1578.58,0.509952,1606.6,1606.52
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,26,27.3602,0,1578.43,0.50688,1606.36,1606.29
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,27,27.227,0,1578.11,0.50688,1605.92,1605.85
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,28,27.4936,0,1577.78,0.505856,1605.85,1605.78
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,29,27.229,0,1579.26,0.504832,1607.06,1606.99
