dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,0,0.712224,11.8009,0.832941,0.330752,13.7639,13.6768
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,1,0.211936,3.17359,0.817294,0.19968,4.4812,4.4025
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,2,0.210464,3.10897,0.788849,0.200704,4.37673,4.30899
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,3,0.212224,3.10939,0.8031,0.200704,4.37971,4.32542
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,4,0.207872,3.16064,0.798217,0.197632,4.37471,4.36436
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,5,0.207808,3.09561,0.79797,0.198656,4.38385,4.30004
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,6,0.20784,3.13269,0.796527,0.195584,4.38198,4.33264
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,7,0.208544,3.12535,0.806946,0.19968,4.42529,4.34052
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,8,0.20976,3.12171,0.796568,0.198656,4.41062,4.32669
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,9,0.212,3.11347,0.808445,0.200704,4.41759,4.33461
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,10,0.210048,3.06827,0.802971,0.200704,4.36703,4.28199
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,11,0.207648,3.10212,0.798822,0.19968,4.38294,4.30827
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,12,0.207008,3.09612,0.80728,0.200704,4.37337,4.31111
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,13,0.211648,3.0663,0.844213,0.197632,4.35427,4.31979
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,14,0.209824,3.08993,0.803691,0.201728,4.35734,4.30517
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,15,0.208864,3.12108,0.796463,0.200704,4.41108,4.32711
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,16,0.207584,3.07821,0.796596,0.19968,4.3639,4.28207
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,17,0.21056,3.10368,0.801736,0.19968,4.3995,4.31565
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,18,0.207744,3.07412,0.801547,0.197632,4.36296,4.28104
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,19,0.209248,3.15201,0.800292,0.197632,4.37512,4.35918
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,20,0.209632,3.07085,0.801103,0.19968,4.33769,4.28127
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,21,0.207168,3.14975,0.7999,0.198656,4.42683,4.35547
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,22,0.212448,3.08136,0.802316,0.198656,4.35632,4.29478
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,23,0.211328,3.17144,0.802089,0.19968,4.42335,4.38454
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,24,0.207488,3.1193,0.791577,0.200704,4.37996,4.31907
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,25,0.214432,3.0802,0.794912,0.320512,4.40311,4.41006
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,26,0.208352,3.07006,0.79807,0.201728,4.36079,4.27821
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,27,0.2096,3.15878,0.804582,0.197632,4.38388,4.37059
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,28,0.21008,3.06618,0.802946,0.19968,4.35662,4.27888
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,29,0.209472,3.07125,0.792649,0.19968,4.35086,4.27305
