dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,0,0.952544,301.525,2.37445,1.04342,306.062,305.895
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,1,0.308928,215.104,2.43052,0.662528,218.612,218.506
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,2,0.30592,219.337,2.42566,0.66048,222.757,222.729
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,3,0.302976,210.426,2.35532,0.653312,213.827,213.738
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,4,0.3064,219.214,2.47568,0.663552,222.745,222.659
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,5,0.304256,217.484,2.33744,0.667584,219.03,220.793
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,6,0.308416,219.623,2.43758,0.664576,223.098,223.033
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,7,0.308096,210.765,2.37526,0.656288,211.808,214.104
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,8,0.303264,217.441,2.43459,0.646144,212.64,220.825
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,9,0.30464,214.228,2.49454,0.663552,217.716,217.691
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,10,0.306336,210.541,2.4467,0.66048,214.045,213.954
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,11,0.310752,211.911,2.47564,0.666624,215.399,215.364
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,12,0.308768,211.632,2.48213,0.659456,215.172,215.083
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,13,0.314304,210.179,2.35813,0.653312,211.275,213.504
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,14,0.303648,208.208,2.43231,0.648192,210.898,211.592
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,15,0.30688,208.268,2.46298,0.657408,210.715,211.695
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,16,0.302944,208.26,2.3485,0.65536,211.532,211.567
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,17,0.314272,209.569,2.45587,0.663552,212.957,213.003
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,18,0.305696,213.181,2.35991,0.658336,213.542,216.505
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,19,0.303296,213.603,2.49882,0.66048,217.115,217.066
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,20,0.301952,207.099,2.35193,0.653248,210.032,210.407
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,21,0.305952,207.36,2.43677,0.657408,210.1,210.76
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,22,0.3016,205.84,2.48381,0.661504,209.38,209.287
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,23,0.301664,209.33,2.36455,0.654272,212.755,212.651
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,24,0.312,216.149,2.36582,0.662496,209.062,219.49
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,25,0.312128,207.401,2.461,0.67072,210.955,210.845
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,26,0.313376,207.92,2.40914,0.662528,211.344,211.305
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,27,0.306176,206.915,2.41083,0.66656,210.398,210.299
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,28,0.301632,213.003,2.40537,0.649216,210.535,216.359
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,29,0.300544,207.032,2.47175,0.644096,209.536,210.449
