dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,0,0.929344,484.605,2.54324,0.61024,469.563,488.688
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,1,0.335328,373.482,2.50196,0.306176,376.695,376.625
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,2,0.329472,365.167,2.54577,0.298976,364.897,368.341
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,3,0.336224,364.568,2.50458,0.305152,367.777,367.714
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,4,0.323744,365.113,2.53422,0.297984,367.035,368.269
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,5,0.33808,385.032,2.51206,0.31232,387.218,388.194
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,6,0.340512,380.603,2.53276,0.293888,367.761,383.77
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,7,0.353728,388.987,2.54205,0.320512,392.336,392.203
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,8,0.338912,366.609,2.4999,0.309248,369.815,369.757
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,9,0.321664,365.541,2.52999,0.294848,367.936,368.687
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,10,0.338528,359.44,2.50349,0.311296,360.515,362.593
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,11,0.337664,385.156,2.50527,0.308224,387.343,388.308
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,12,0.35312,369.124,2.50356,0.309248,369.485,372.29
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,13,0.321088,353.534,2.52901,0.292864,354.913,356.677
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,14,0.343392,389.172,2.53333,0.32256,389.156,392.371
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,15,0.322144,368.976,2.53786,0.29696,371.403,372.133
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,16,0.338624,354.444,2.49133,0.306176,353.084,357.581
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,17,0.357984,360.526,2.50504,0.306176,359.916,363.695
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,18,0.337664,358.039,2.49547,0.310272,361.247,361.183
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,19,0.321632,350.004,2.53609,0.293888,351.465,353.155
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,20,0.336864,361.428,2.50435,0.3072,362.256,364.576
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,21,0.339584,354.711,2.49154,0.306176,349.371,357.848
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,22,0.338048,375.853,2.57926,0.307136,379.185,379.077
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,23,0.338336,365.025,2.50551,0.311296,368.252,368.181
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,24,0.321344,357.986,2.53356,0.293888,360.908,361.135
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,25,0.329056,360.871,2.52633,0.293888,363.156,364.02
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,26,0.340096,366.247,2.49862,0.3072,365.163,369.393
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,27,0.332736,367.995,2.54551,0.304096,369.61,371.177
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,28,0.335648,361.897,2.50375,0.309248,365.112,365.046
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,369,29,0.327264,361.034,2.53692,0.294912,347.074,364.193
