dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,0,36.4219,400.68,2.13254,1.55856,449.075,440.793
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,1,36.354,397.722,2.06069,1.14992,439.279,437.287
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,2,36.6425,397.962,2.04364,1.15814,439.821,437.807
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,3,36.6636,380.176,2.05462,1.17658,422.076,420.07
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,4,36.7369,406.324,2.04926,1.15706,448.267,446.267
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,5,36.6214,400.465,2.06999,1.18269,442.319,440.339
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,6,36.6749,387.992,2.08045,1.1664,429.952,427.914
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,7,36.4105,396.871,2.05988,1.1919,438.518,436.533
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,8,36.1089,385.178,2.05724,1.14586,426.484,424.49
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,9,36.2035,389.212,2.06014,1.18166,430.617,428.657
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,10,36.1752,390.906,2.06188,1.15914,432.29,430.303
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,11,36.3365,399.518,2.05565,1.17139,441.08,439.082
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,12,36.3382,373.931,2.06589,1.18989,415.504,413.525
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,13,36.3666,374.623,2.04426,1.17552,416.217,414.209
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,14,36.3698,374.957,2.04974,1.16019,416.523,414.536
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,15,36.3355,379.756,2.05587,1.1745,421.283,419.322
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,16,36.3541,400.44,2.04849,1.17859,441.941,440.021
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,17,36.727,379.598,2.04499,1.29334,421.499,419.664
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,18,37.4497,382.977,2.04642,1.18883,425.657,423.662
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,19,36.2403,420.848,2.09944,1.17453,462.331,460.362
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,20,36.383,422.113,2.05723,1.21139,463.761,461.765
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,21,36.3168,404.295,2.04802,1.16838,445.786,443.828
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,22,36.5509,419.301,2.0664,1.17043,461.111,459.089
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,23,36.6083,383.322,2.04736,1.18678,425.152,423.164
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,24,36.4498,384.885,2.04785,1.14179,426.478,424.525
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,25,36.7818,387.403,2.04906,1.16227,429.4,427.396
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,26,36.6573,384.043,2.04446,1.14995,425.907,423.894
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,27,36.2107,388.381,2.03569,1.16323,429.808,427.791
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,28,36.2103,372.102,2.05165,1.1561,413.529,411.52
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,29,37.2751,382.176,2.05282,1.28915,423.643,422.793
