dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,0,0.908608,0,6858.8,1.32506,6861.27,6861.03
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,1,0.826048,0,2331.36,0.768,2330.26,2332.95
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,2,0.834528,0,2299.65,0.776192,2301.3,2301.26
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,3,0.827296,0,2528.17,0.766976,2488.69,2529.76
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,4,0.822432,0,2309.92,0.76288,2309.81,2311.51
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,5,0.832864,0,2310.54,0.779264,2310.2,2312.15
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,6,0.821888,0,2315.35,0.763904,2316.36,2316.94
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,7,0.83392,0,2320.91,0.779264,2322.17,2322.53
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,8,0.822496,0,2306.13,0.764928,2306.13,2307.72
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,9,0.836032,0,2308.88,0.770048,2306.52,2310.49
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,10,0.822176,0,2301.88,0.769024,2301.53,2303.48
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,11,0.82224,0,2294.05,0.763936,2293.84,2295.63
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,12,0.821184,0,2319.25,0.766976,2318.75,2320.84
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,13,0.83184,0,2311.18,0.780288,2308.57,2312.8
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,14,0.824096,0,2319.81,0.76288,2320.38,2321.4
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,15,0.822112,0,2305.75,0.76496,2303.02,2307.34
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,16,0.822688,0,2324.82,0.764928,2324.3,2326.41
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,17,0.824544,0,2307.9,0.76592,2306.82,2309.49
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,18,0.827968,0,2347.17,0.764928,2348.62,2348.76
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,19,0.8256,0,2350.92,0.765952,2352.18,2352.51
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,20,0.825248,0,2316.41,0.765952,2313.86,2318
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,21,0.823456,0,2307.95,0.760832,2308.25,2309.54
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,22,0.822848,0,2307.14,0.763904,2305.34,2308.73
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,23,0.826304,0,2518.17,0.770048,2486.93,2519.76
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,24,0.820896,0,2308.09,0.764928,2305.34,2309.67
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,25,0.822176,0,2306.41,0.763936,2306.47,2308
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,26,0.826784,0,2528.67,0.775168,2493.19,2530.28
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,27,0.8272,0,2535.07,0.763904,2499.6,2536.66
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,28,0.82336,0,2304.8,0.764928,2301.89,2306.39
3,double,uniform,GPU,"D | D | D | D | D | D",6,465,29,0.834624,0,2473.21,0.768,2471.84,2474.81
