dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,0,67.756,1251.31,6.7663,2.55283,1328.65,1328.38
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,1,68.0625,1172.24,6.72985,1.85955,1249.05,1248.89
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,2,67.9777,1174.42,6.70718,1.86467,1251.13,1250.97
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,3,67.5851,1204.24,6.7583,1.85952,1277.04,1280.45
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,4,68.692,1194.82,6.77099,1.87286,1272.34,1272.15
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,5,68.0009,1159.26,6.78475,1.87181,1236.07,1235.92
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,6,68.3728,1156.12,6.69936,1.85136,1225.44,1233.04
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,7,68.6422,1144.03,6.71954,1.8616,1221.4,1221.25
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,8,68.1834,1151.82,6.75229,1.86061,1228.77,1228.62
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,9,67.828,1150.85,6.74235,1.85949,1227.46,1227.28
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,10,68.2026,1177.26,6.79383,1.8872,1254.3,1254.15
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,11,68.2972,1206.63,6.72433,1.86365,1283.66,1283.51
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,12,68.0259,1159.41,6.70659,1.86262,1236.15,1236
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,13,67.9443,1157.89,6.73217,1.85952,1234.57,1234.43
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,14,68.3285,1142.7,6.7507,1.85853,1219.8,1219.64
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,15,67.6483,1152.82,6.7098,1.85133,1223.12,1229.03
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,16,68.8426,1133.29,6.68974,1.8513,1206.52,1210.68
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,17,67.699,1157.2,6.71407,1.85542,1223.89,1233.46
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,18,67.7312,1177.02,6.71328,1.85242,1245.6,1253.32
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,19,67.5536,1164.47,6.69131,1.85744,1234.9,1240.57
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,20,67.5818,1168.14,6.69557,1.85648,1243.06,1244.27
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,21,68.043,1153.49,6.77067,1.85952,1230.32,1230.16
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,22,67.4541,1184.56,6.71234,1.84621,1259.4,1260.58
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,23,68.5954,1163.12,6.72576,1.85034,1235.7,1240.29
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,24,68.2607,1174.66,6.73984,1.86058,1251.67,1251.52
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,25,68.1335,1154.24,6.75763,1.86374,1231.15,1231
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,26,67.8029,1166.07,6.73403,1.8585,1242.62,1242.47
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,27,68.1084,1127.69,6.73651,1.86266,1204.55,1204.4
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,28,67.8718,1123.52,6.73783,1.8616,1200.15,1199.99
3,double,uniform,CPU,"P | P | P | P | D | N",6,465,29,68.3173,1155.08,6.67996,1.85341,1215.68,1231.93
