dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,0,0.530144,0,3863.71,1.03216,3860.79,3865.28
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,1,0.442176,0,1996.07,0.462848,1976.36,1996.97
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,2,0.438592,0,2000.56,0.464928,1982.59,2001.46
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,3,0.435168,0,1866.85,0.46592,1867.84,1867.75
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,4,0.438656,0,1863.45,0.4608,1864.44,1864.35
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,5,0.446592,0,1862.74,0.467968,1863.76,1863.65
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,6,0.43696,0,1860.33,0.464896,1861.31,1861.23
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,7,0.435552,0,1858.84,0.459712,1859.82,1859.73
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,8,0.436448,0,1859.43,0.461824,1860.42,1860.33
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,9,0.449376,0,1859.46,0.467968,1860.48,1860.38
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,10,0.43664,0,1859.01,0.46592,1860,1859.91
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,11,0.434048,0,1861.4,0.458752,1862.38,1862.3
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,12,0.457664,0,1995.35,0.474112,1975.46,1996.28
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,13,0.440928,0,1989.2,0.466944,1969.55,1990.1
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,14,0.442336,0,1862.81,0.470016,1863.83,1863.72
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,15,0.436832,0,1865.45,0.458688,1866.43,1866.35
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,16,0.43648,0,1864.96,0.458752,1865.94,1865.85
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,17,0.437696,0,1872.17,0.459776,1873.15,1873.07
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,18,0.446464,0,1874.56,0.472064,1875.59,1875.48
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,19,0.438208,0,1870.14,0.461824,1871.13,1871.04
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,20,0.438144,0,1874.17,0.459648,1875.15,1875.07
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,21,0.43744,0,1860.99,0.461824,1861.97,1861.89
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,22,0.435488,0,1859.91,0.458752,1860.89,1860.81
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,23,0.435136,0,1857.58,0.458752,1858.56,1858.47
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,24,0.433536,0,1858.99,0.461824,1859.97,1859.88
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,25,0.445024,0,1860.58,0.464896,1861.59,1861.49
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,26,0.43328,0,1861.05,0.458752,1862.03,1861.94
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,27,0.433792,0,1860.27,0.461824,1861.25,1861.17
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,28,0.433664,0,1860.6,0.462848,1861.58,1861.5
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,29,0.434528,0,1861.65,0.457728,1862.63,1862.55
