dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,0,0.905824,517.331,2.46222,0.64,519.306,521.339
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,1,0.340416,398.583,2.42337,0.308224,395.131,401.655
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,2,0.337248,359.268,2.41942,0.308224,352.761,362.333
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,3,0.341568,379.345,2.41785,0.310272,382.493,382.415
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,4,0.33888,371.344,2.40805,0.3072,370.6,374.398
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,5,0.342848,349.991,2.41162,0.309248,348.38,353.055
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,6,0.33696,366.034,2.4091,0.3072,361.308,369.087
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,7,0.327808,362.864,2.43286,0.294848,363.093,365.919
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,8,0.339392,377.898,2.41905,0.309248,376.173,380.966
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,9,0.339168,359.94,2.40508,0.306176,363.076,362.99
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,10,0.337664,360.815,2.44434,0.29696,363.163,363.894
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,11,0.325248,385.782,2.52288,0.318432,384.185,388.948
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,12,0.338016,351.43,2.41554,0.311296,352.478,354.495
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,13,0.331744,380.426,2.43641,0.302048,382.097,383.497
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,14,0.353056,363.171,2.41271,0.3072,366.276,366.244
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,15,0.335584,352.471,2.40449,0.3072,355.181,355.518
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,16,0.340768,374.294,2.41508,0.310272,377.423,377.36
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,17,0.33008,368.987,2.45311,0.3072,368.841,372.077
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,18,0.340288,351.769,2.44181,0.314368,354.175,354.866
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,19,0.340864,356.869,2.4103,0.306176,356.786,359.926
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,20,0.338944,363.202,2.41636,0.311296,366.332,366.268
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,21,0.32064,352.635,2.43162,0.295872,354.947,355.683
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,22,0.336416,351.934,2.49449,0.314368,355.191,355.079
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,23,0.34128,346.938,2.39851,0.3072,349.299,349.985
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,24,0.330304,356.557,2.44404,0.29696,355.593,359.628
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,25,0.32288,349.924,2.43799,0.294848,352.468,352.979
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,26,0.32112,365.897,2.43367,0.294912,364.24,368.947
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,27,0.339616,356.253,2.41027,0.311296,357.154,359.314
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,28,0.333952,351.762,2.43749,0.297984,348.889,354.832
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,29,0.338432,373.339,2.41462,0.3072,375.326,376.399
