dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,0,38.3874,0,1611.65,2.40349,1651.8,1652.44
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,1,38.4492,0,1249.69,1.07072,1288.64,1289.21
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,2,37.4825,0,1226.82,1.05786,1265.49,1265.36
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,3,38.3339,0,1220.88,1.06774,1259.83,1260.28
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,4,37.7744,0,1224.51,1.05712,1263.46,1263.34
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,5,37.7319,0,1222.77,1.07795,1261.72,1261.58
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,6,37.8774,0,1225.97,1.06154,1265.02,1264.91
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,7,38.312,0,1242.1,1.04742,1280.87,1281.46
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,8,37.7889,0,1233.17,1.04781,1272.08,1272
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,9,37.7607,0,1229.33,1.06765,1268.3,1268.16
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,10,38.0378,0,1234.57,1.07626,1273.81,1273.68
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,11,38.1605,0,1226.44,1.05376,1265.77,1265.66
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,12,37.8515,0,1222.19,1.05683,1261.21,1261.1
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,13,38.4627,0,1231.83,1.05517,1270.73,1271.35
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,14,37.5545,0,1226.43,1.05914,1265.16,1265.04
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,15,37.9913,0,1232.37,1.07146,1271.57,1271.44
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,16,37.7436,0,1230.14,1.06749,1269.06,1268.95
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,17,37.7783,0,1236.29,1.05699,1275.24,1275.13
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,18,37.7038,0,1227.59,1.05101,1266.46,1266.34
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,19,37.6316,0,1224.93,1.05885,1263.73,1263.62
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,20,37.6425,0,1222.6,1.05821,1261.41,1261.3
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,21,37.7182,0,1230.38,1.0559,1269.27,1269.16
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,22,38.4556,0,1225.15,1.06387,1264.09,1264.67
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,23,37.7871,0,1223.54,1.06474,1262.52,1262.39
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,24,38.1763,0,1228.48,1.05709,1267.83,1267.71
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,25,38.0285,0,1224.87,1.05616,1264.08,1263.96
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,26,38.0931,0,1229.66,1.05914,1268.93,1268.81
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,27,37.7185,0,1233.77,1.05306,1272.43,1272.55
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,28,37.6216,0,1232.98,1.05574,1271.78,1271.66
3,float,uniform,CPU,"P | P | P | P | P | P",6,465,29,37.6068,0,1231.27,1.05165,1270.05,1269.93
