dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,0,25.8482,484.211,2.52532,0.715712,513.486,513.3
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,1,24.455,369.695,2.52009,0.311264,397.099,396.981
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,2,23.9356,373.697,2.46793,0.306208,393.473,400.407
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,3,24.4563,362.558,2.49279,0.309184,389.941,389.816
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,4,22.732,361.646,2.42595,0.311296,386,387.115
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,5,24.4752,374.567,2.49917,0.304096,401.962,401.845
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,6,24.3906,387.607,2.50485,0.31536,414.934,414.818
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,7,24.0071,366.521,2.45461,0.298944,391.697,393.281
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,8,24.7271,358.033,2.51037,0.309216,385.697,385.58
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,9,22.5328,354.265,2.43662,0.296992,378.557,379.532
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,10,22.4917,368.032,2.44395,0.294848,388.799,393.262
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,11,22.6412,355.152,2.5202,0.31232,377.433,380.625
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,12,22.3083,357.849,2.44503,0.295936,381.031,382.898
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,13,23.9937,345.321,2.45127,0.298016,370.755,372.064
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,14,22.7559,346.98,2.45053,0.30512,372.543,372.491
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,15,24.5825,375.479,2.48916,0.30208,402.961,402.853
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,16,23.9796,352.179,2.45244,0.298976,376.332,378.91
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,17,22.44,363.16,2.4449,0.297952,380.268,388.343
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,18,25.0444,381.161,2.52448,0.334784,409.222,409.064
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,19,22.7268,367.231,2.44411,0.310272,387.028,392.712
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,20,24.459,365.558,2.50214,0.313376,392.953,392.833
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,21,24.4644,353.909,2.48938,0.300032,381.271,381.163
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,22,24.0124,356.962,2.45512,0.297952,378.372,383.728
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,23,24.2609,392.085,2.44442,0.3,413.153,419.091
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,24,22.581,353.539,2.43762,0.30512,378.556,378.863
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,25,23.9636,353.611,2.45935,0.3,378.475,380.334
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,26,22.667,352.641,2.40713,0.311296,377.976,378.026
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,27,24.5418,367.611,2.50712,0.310208,395.087,394.97
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,28,23.9924,353.512,2.4426,0.29792,376.26,380.245
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,369,29,24.3619,357.45,2.48936,0.30208,384.712,384.603
