dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,0,37.6897,297.856,1.53961,0.545824,339.003,337.631
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,1,37.677,266.88,1.54069,0.302112,307.513,306.399
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,2,37.5098,302.982,1.54076,0.301024,343.471,342.334
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,3,37.4843,299.896,1.52211,0.290816,340.259,339.193
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,4,37.5435,287.067,1.52809,0.29488,327.48,326.434
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,5,37.828,287.574,1.52984,0.295936,328.142,327.228
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,6,37.5247,276.443,1.53874,0.295968,316.924,315.802
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,7,37.6909,275.255,1.53487,0.300032,315.885,314.78
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,8,37.638,279.231,1.52816,0.3,319.779,318.697
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,9,37.6335,268.542,1.53062,0.294912,308.969,308.001
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,10,37.5118,263.817,1.52694,0.294912,304.177,303.151
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,11,37.5579,263.898,1.52618,0.294912,304.272,303.277
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,12,37.6194,269.501,1.52526,0.293888,309.944,308.94
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,13,37.999,285.847,1.54356,0.303072,326.83,325.692
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,14,37.5336,260.669,1.5679,0.293856,301.115,300.064
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,15,37.6357,260.259,1.52801,0.293888,300.702,299.716
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,16,37.5739,255.989,1.52602,0.29696,296.368,295.386
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,17,37.7866,265.907,1.53596,0.300032,306.65,305.53
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,18,37.8955,261.683,1.52892,0.292832,302.438,301.4
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,19,37.5916,287.017,1.52691,0.295936,327.393,326.432
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,20,37.6441,277.412,1.56768,0.303104,318.079,316.927
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,21,37.7768,271.764,1.54855,0.298976,312.492,311.388
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,22,38.614,271.016,1.57244,0.303136,311.533,311.506
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,23,37.8255,267.67,1.53105,0.299008,308.243,307.326
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,24,37.5256,274.168,1.53343,0.295968,314.609,313.523
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,25,37.5553,261.386,1.53407,0.295904,301.769,300.772
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,26,37.6951,270.872,1.53189,0.296928,311.507,310.396
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,27,37.8451,261.287,1.52901,0.29488,301.844,300.956
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,28,37.5593,258.939,1.53433,0.298976,299.446,298.331
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,29,37.809,261.209,1.53276,0.297952,301.994,300.849
