dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,0,0.78592,160.773,0.922059,0.568256,163.192,163.049
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,1,0.178976,66.4539,0.905561,0.176096,67.7886,67.7146
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,2,0.178656,74.8611,0.875076,0.172992,76.1581,76.0879
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,3,0.171904,71.5819,0.880429,0.174048,72.8792,72.8083
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,4,0.178368,67.8484,0.877582,0.171968,69.0792,69.0764
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,5,0.177952,61.9774,0.879544,0.174048,63.2145,63.209
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,6,0.178496,61.3672,0.875201,0.172992,62.6686,62.5939
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,7,0.182208,73.4894,0.875767,0.171968,74.8107,74.7193
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,8,0.177376,71.0107,0.879968,0.173024,72.3205,72.2411
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,9,0.1776,61.9513,0.87853,0.174048,63.1926,63.1815
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,10,0.17856,67.5493,0.890899,0.178176,68.8881,68.7969
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,11,0.17696,66.1629,0.877303,0.176096,67.3968,67.3932
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,12,0.171008,69.9742,0.877614,0.175072,71.2797,71.1979
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,13,0.175392,71.0053,0.875371,0.174048,72.3022,72.2302
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,14,0.176512,70.6555,0.875304,0.172992,71.955,71.8803
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,15,0.17216,71.168,0.877344,0.173024,72.4673,72.3905
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,16,0.176864,67.2139,0.877154,0.173024,68.5141,68.4409
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,17,0.181632,66.3237,0.88246,0.17712,67.5761,67.565
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,18,0.18128,65.4858,0.885631,0.177088,66.8171,66.7298
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,19,0.179424,70.8597,0.881869,0.176096,72.1043,72.0971
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,20,0.182432,62.9817,0.883969,0.176128,64.2309,64.2243
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,21,0.177056,70.9847,0.881533,0.17504,72.2439,72.2183
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,22,0.177056,76.0943,0.893262,0.176064,77.4243,77.3407
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,23,0.18096,69.8024,0.883007,0.174048,71.1231,71.0404
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,24,0.177312,72.8093,0.888672,0.178144,74.0699,74.0535
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,25,0.176128,66.2813,0.878157,0.17712,67.5202,67.5127
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,26,0.173536,69.8076,0.886368,0.173024,71.0484,71.0405
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,27,0.175456,70.3301,0.878496,0.172,71.56,71.556
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,28,0.174752,68.5517,0.875131,0.172992,69.8462,69.7746
3,float,uniform,GPU,"D | D | D | D | D | D",6,323,29,0.174656,64.4115,0.876744,0.17504,65.6438,65.6379
