dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,0,0.783328,0,97.4013,0.761856,99.071,98.9465
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,1,0.230272,0,2.04901,0.487424,2.88925,2.7667
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,2,0.229184,0,2.01694,0.48128,2.85147,2.7274
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,3,0.231232,0,2.04812,0.482304,2.88515,2.76166
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,4,0.223488,0,2.01838,0.483328,2.84614,2.7252
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,5,0.230624,0,2.02085,0.480256,2.85611,2.73173
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,6,0.230272,0,2.026,0.482304,2.86228,2.73858
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,7,0.230464,0,2.02341,0.489472,2.87125,2.74334
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,8,0.229312,0,2.01726,0.48128,2.84891,2.72785
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,9,0.226304,0,2.01909,0.479232,2.84663,2.72462
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,10,0.228704,0,2.01888,0.483328,2.85513,2.73091
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,11,0.239648,0,2.01923,0.482304,2.86408,2.74119
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,12,0.227968,0,2.0106,0.480256,2.84248,2.71882
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,13,0.232928,0,2.01925,0.482304,2.85777,2.73448
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,14,0.229888,0,2.01488,0.484352,2.85328,2.72912
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,15,0.22912,0,2.01439,0.479232,2.8457,2.72275
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,16,0.229216,0,2.01659,0.48128,2.84841,2.72709
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,17,0.22928,0,2.02334,0.480256,2.85845,2.73288
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,18,0.23168,0,2.02703,0.478208,2.86041,2.73692
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,19,0.228672,0,2.01588,0.478208,2.85718,2.72276
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,20,0.229024,0,2.01749,0.482304,2.84882,2.72882
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,21,0.230656,0,2.01925,0.485376,2.85627,2.73529
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,22,0.229536,0,2.0184,0.480256,2.85031,2.72819
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,23,0.22976,0,2.01888,0.480256,2.85686,2.7289
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,24,0.228768,0,2.01832,0.480256,2.85104,2.72735
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,25,0.228864,0,2.01581,0.48128,2.85087,2.72595
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,26,0.229536,0,2.02466,0.482304,2.87632,2.7365
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,27,0.227936,0,2.02593,0.487424,2.86395,2.74129
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,28,0.23088,0,2.02301,0.48128,2.85816,2.73517
3,double,uniform,GPU,"P | P | P | P | P | P",1,161,29,0.22944,0,2.01538,0.480256,2.84879,2.72507
