dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,0,0.906272,950.849,6.08261,2.53955,960.556,960.377
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,1,0.864064,866.94,6.02228,1.88307,875.838,875.709
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,2,0.865632,861.301,6.03403,1.89235,870.228,870.094
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,3,0.878368,861.901,6.07479,1.9097,870.901,870.764
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,4,0.86416,900.391,6.07998,1.90256,909.366,909.237
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,5,0.86656,901.433,6.08315,1.88512,910.391,910.268
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,6,0.861728,875.574,6.02653,1.89126,884.502,884.354
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,7,0.864128,869.105,6.07261,1.88614,878.05,877.927
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,8,0.868896,866.242,6.06026,1.89328,875.189,875.064
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,9,0.867456,908.072,6.03607,1.88918,916.987,916.865
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,10,0.881088,861.299,6.07559,1.89232,870.271,870.148
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,11,0.863904,854.987,6.09726,1.90461,863.976,863.853
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,12,0.86544,855.009,6.05474,1.8913,863.946,863.821
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,13,0.861152,871.515,6.01822,1.88922,880.43,880.284
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,14,0.863968,877.47,6.03222,1.8872,886.377,886.254
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,15,0.866368,864.881,6.03513,1.88822,873.793,873.67
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,16,0.866976,857.043,6.0334,1.88819,865.953,865.831
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,17,0.86496,851.795,6.03655,1.89331,860.715,860.589
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,18,0.867968,886.585,6.04234,1.89133,895.513,895.387
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,19,0.863904,835.042,6.06033,1.88714,843.975,843.853
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,20,0.86432,866.877,6.04695,1.89027,875.806,875.678
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,21,0.865824,889.587,6.04653,1.89741,898.518,898.397
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,22,0.867936,858.268,6.03977,1.88515,867.184,867.061
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,23,0.863904,919.73,6.02765,1.89536,928.64,928.517
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,24,0.867552,880.526,6.04472,1.89238,889.457,889.331
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,25,0.86272,868.015,6.04776,1.89027,876.934,876.816
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,26,0.86064,855.993,6.03952,1.88922,864.911,864.782
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,27,0.863616,848.262,6.05321,1.89235,857.2,857.071
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,28,0.863136,1028.74,6.02494,1.89027,1037.64,1037.52
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,465,29,0.864,906.814,6.02398,1.89021,915.715,915.593
