dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,0,15.3679,9.93737,1.2407,0.369664,27.0311,26.9156
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,1,14.4669,2.68404,1.23485,0.217088,18.5893,18.6029
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,2,14.4759,2.69214,1.21049,0.218112,18.6009,18.5966
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,3,14.357,2.69366,1.21152,0.221184,18.569,18.4834
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,4,14.2771,2.67927,1.21566,0.218112,18.4741,18.3901
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,5,14.4588,2.68789,1.22305,0.218112,18.6351,18.5878
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,6,14.2673,2.69495,1.21945,0.219136,18.4862,18.4009
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,7,14.5197,2.70552,1.25871,0.222208,18.8046,18.7062
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,8,14.5495,2.70158,1.22574,0.221184,18.7895,18.698
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,9,14.5297,2.69099,1.22602,0.224256,18.7628,18.6709
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,10,14.4024,2.67452,1.21791,0.217088,18.5969,18.5119
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,11,14.3534,2.77568,1.22111,0.22016,18.6014,18.5704
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,12,14.4521,2.67588,1.21543,0.218112,18.5788,18.5615
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,13,14.2742,2.69676,1.21755,0.22016,18.4973,18.4087
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,14,14.3688,2.68637,1.22726,0.221184,18.5916,18.5036
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,15,14.3884,2.74512,1.21712,0.218112,18.6262,18.5687
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,16,14.4646,2.68943,1.21948,0.219136,18.6764,18.5927
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,17,14.4062,2.70713,1.22196,0.221184,18.6427,18.5565
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,18,14.3599,2.68462,1.21774,0.22528,18.553,18.4875
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,19,14.5403,2.69858,1.23262,0.222208,18.785,18.6937
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,20,14.3431,2.73967,1.22277,0.219136,18.6228,18.5246
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,21,14.3557,2.66941,1.22253,0.218112,18.5523,18.4658
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,22,14.3962,2.67079,1.22762,0.218112,18.5967,18.5127
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,23,14.3927,2.6743,1.21328,0.219136,18.5721,18.4995
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,24,14.4472,2.69424,1.21572,0.22528,18.6697,18.5825
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,25,14.4139,2.71922,1.2169,0.219136,18.606,18.5691
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,26,14.6612,2.68769,1.22533,0.221184,18.8872,18.7954
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,27,14.3413,2.67537,1.21773,0.218112,18.5395,18.4525
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,28,14.4764,2.69161,1.22224,0.224256,18.7129,18.6145
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,29,14.4254,2.79704,1.23026,0.223232,18.768,18.6759
