dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,0,37.5497,275.643,7.97345,1.11923,322.46,322.285
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,1,37.5934,270.32,7.95731,0.501696,316.488,316.372
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,2,37.6084,267.483,7.95686,0.501696,313.667,313.55
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,3,35.6369,267.709,7.94591,0.493504,310.508,311.785
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,4,37.8334,263.689,7.96098,0.500704,309.881,309.984
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,5,37.6776,263.599,7.95573,0.505824,309.855,309.738
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,6,37.7268,277.349,7.95394,0.500704,323.648,323.531
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,7,37.6482,261.833,7.96172,0.498656,308.06,307.942
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,8,37.7605,262.631,7.97913,0.499744,308.986,308.87
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,9,37.7297,267.445,7.94723,0.507904,313.744,313.629
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,10,37.6726,264.205,7.96938,0.501696,310.467,310.348
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,11,37.7064,263.658,7.99163,0.497632,309.966,309.853
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,12,37.591,262.445,7.97222,0.495616,308.623,308.504
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,13,37.5651,274.101,7.9732,0.507872,320.271,320.147
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,14,37.6416,257.36,7.97168,0.49872,303.603,303.472
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,15,37.7108,432.854,7.94556,0.499712,479.126,479.01
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,16,37.7732,296.995,7.96052,0.497632,343.076,343.226
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,17,37.4267,280.586,7.94092,0.49968,326.492,326.454
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,18,37.6134,275.935,7.97947,0.498624,322.14,322.026
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,19,37.4401,269.809,7.96391,0.498688,315.823,315.712
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,20,37.7663,273.688,7.91543,0.500672,319.988,319.871
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,21,37.8329,275.412,7.99402,0.508896,321.889,321.747
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,22,37.7438,276.946,8.02251,0.50784,323.338,323.22
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,23,37.6863,265.701,7.95317,0.495584,311.954,311.836
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,24,37.5102,262.546,7.94402,0.49968,308.616,308.5
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,25,38.0362,272.792,7.94962,0.500672,319.393,319.278
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,26,37.7016,268.676,7.94748,0.50176,314.944,314.827
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,27,37.6227,257.197,7.96039,0.50272,303.419,303.283
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,28,37.7382,260.54,7.95263,0.497632,306.643,306.728
3,float,uniform,CPU,"D | D | D | D | N | D",6,465,29,37.6816,256.368,7.97271,0.49968,302.641,302.522
