dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,0,36.4879,405.319,3.64045,1.62298,447.308,447.071
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,1,36.2661,394.435,3.5773,0.97888,435.387,435.258
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,2,36.2875,385.793,3.58955,0.985056,426.754,426.655
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,3,36.1251,403.4,3.64348,0.979904,444.284,444.149
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,4,36.2933,381.204,3.72541,0.977952,422.349,422.201
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,5,36.3809,384.061,3.65044,0.987136,425.214,425.08
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,6,36.3378,379.929,3.67907,0.986016,421.063,420.932
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,7,36.4714,391.074,3.46673,0.98096,432.107,431.993
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,8,36.2151,367.977,3.53419,0.97888,408.834,408.706
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,9,36.1926,402.512,3.6306,0.979936,443.452,443.315
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,10,36.1694,385.648,3.64574,0.981984,426.577,426.445
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,11,36.5052,415.263,3.65546,0.985056,456.541,456.409
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,12,36.6558,394.021,3.63571,0.986048,435.439,435.298
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,13,36.6839,379.56,3.66519,0.982944,421.025,420.892
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,14,36.7005,389.99,3.69667,1.02086,431.566,431.408
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,15,36.5925,400.92,3.5913,0.980992,442.215,442.085
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,16,36.6036,391.249,3.56182,0.983072,432.534,432.398
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,17,36.3416,384.104,3.6465,0.987104,425.209,425.079
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,18,36.3594,374.369,3.66387,0.984096,415.51,415.376
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,19,36.3193,383.571,3.6096,0.978912,424.623,424.478
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,20,37.4686,380.404,3.66926,0.98304,422.682,422.525
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,21,36.2787,384.578,3.75809,1.01062,425.763,425.625
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,22,36.3187,370.046,3.66557,0.981952,411.146,411.012
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,23,36.3452,367.96,3.64199,0.980928,409.064,408.928
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,24,36.3068,378.294,3.61574,0.97888,419.329,419.195
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,25,36.3365,386.757,3.61775,0.984096,427.733,427.695
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,26,36.3513,378.938,3.66914,0.97888,420.067,419.937
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,27,36.3357,382.938,3.58058,0.983008,423.967,423.837
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,28,36.2541,376.38,3.60872,0.98608,417.359,417.229
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,406,29,36.4228,386.642,3.62483,0.98192,427.804,427.671
