dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,0,1.25677,322.495,2.3578,1.13562,313.915,327.245
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,1,0.30416,229.855,2.35682,0.648192,229.574,233.164
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,2,0.309376,225.807,2.34605,0.662528,228.322,229.125
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,3,0.306624,214.175,2.31198,0.653312,213.035,217.447
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,4,0.306528,238.646,2.28612,0.663552,232.39,241.902
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,5,0.302336,223.451,2.30774,0.653312,224.965,226.714
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,6,0.305664,214.281,2.28301,0.663552,211.934,217.534
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,7,0.301856,215.166,2.24856,0.659424,218.481,218.376
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,8,0.312608,231.706,2.3471,0.658432,235.106,235.024
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,9,0.30144,212.952,2.24002,0.655296,212.494,216.149
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,10,0.304544,214.457,2.27129,0.657344,217.794,217.69
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,11,0.306656,212.267,2.372,0.6656,210.538,215.611
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,12,0.350304,217.776,2.34036,0.682944,213.732,221.149
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,13,0.310016,206.084,2.37894,0.664576,209.553,209.437
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,14,0.307616,210.24,2.33911,0.66048,213.551,213.547
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,15,0.308352,207.169,2.35919,0.655296,200.391,210.492
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,16,0.310144,209.254,2.31612,0.655296,212.645,212.535
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,17,0.304832,223.531,2.3469,0.661504,226.911,226.844
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,18,0.31104,205.536,2.35877,0.662528,208.95,208.868
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,19,0.307872,224.826,2.33177,0.662528,228.146,228.128
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,20,0.307744,213.154,2.309,0.663552,208.725,216.435
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,21,0.301344,207.215,2.28988,0.648192,210.504,210.454
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,22,0.302976,213.995,2.2874,0.646144,212.77,217.231
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,23,0.313824,208.237,2.33273,0.67072,210.517,211.554
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,24,0.306368,208.77,2.38973,0.651264,210.588,212.118
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,25,0.309504,217.34,2.30515,0.666624,208.197,220.621
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,26,0.30608,207.652,2.322,0.661536,210.827,210.942
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,27,0.311584,210.646,2.28831,0.659424,210.423,213.905
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,28,0.303232,209.712,2.36152,0.663552,213.069,213.04
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",6,323,29,0.299936,210.943,2.30452,0.649216,213.232,214.196
