dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,0,16.6695,12.591,1.08343,0.654336,30.9138,30.9982
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,1,15.1179,2.80493,1.05822,0.454656,19.1125,19.4357
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,2,14.9497,2.7958,1.01787,0.45568,19.0429,19.219
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,3,15.0942,2.73068,1.02256,0.454656,18.8961,19.3021
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,4,15.1516,2.72918,1.0118,0.45568,18.9455,19.3483
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,5,15.1595,2.7003,1.01092,0.457728,19.0401,19.3285
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,6,15.1701,2.69154,1.01899,0.45568,18.9566,19.3364
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,7,14.9957,2.68686,1.01925,0.453632,18.9657,19.1555
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,8,15.0629,2.67332,1.02765,0.453632,18.8616,19.2175
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,9,15.1102,2.67332,1.01348,0.456704,19.0114,19.2537
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,10,15.262,2.6677,1.01556,0.454656,19.0187,19.3999
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,11,15.0608,2.68089,1.0151,0.45568,18.8427,19.2124
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,12,15.1514,2.84559,1.0261,0.456704,19.1218,19.4798
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,13,15.1372,2.79625,1.01992,0.452608,19.1015,19.406
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,14,15.0976,2.75214,1.0176,0.45568,18.8827,19.323
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,15,15.2428,2.69428,1.02171,0.463872,19.1761,19.4227
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,16,15.1967,2.68803,1.01628,0.457728,18.9141,19.3588
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,17,15.0588,2.74554,1.0169,0.463872,19.0483,19.2851
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,18,15.0556,2.77072,1.01699,0.453632,19.0774,19.2969
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,19,15.1599,2.67643,1.02301,0.467968,19.0413,19.3273
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,20,15.2238,2.68188,1.02074,0.453632,19.1022,19.38
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,21,15.1183,2.72107,1.019,0.453632,18.9408,19.312
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,22,15.1507,2.66471,1.01366,0.454656,18.9195,19.2837
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,23,15.2927,2.67781,1.01304,0.45568,19.0579,19.4392
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,24,15.0676,2.677,1.02585,0.453632,18.9331,19.2241
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,25,15.3206,2.7757,1.02323,0.454656,19.157,19.5742
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,26,15.1273,2.6725,1.02275,0.45568,18.9177,19.2782
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,27,15.0914,2.67452,1.02021,0.45568,18.8413,19.2418
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,28,14.9743,2.68421,1.02456,0.454656,18.8846,19.1377
3,double,uniform,CPU,"P | P | P | P | N | D",4,256,29,15.0596,2.67436,1.01885,0.45568,18.8792,19.2085
