dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,0,36.1695,554.924,3.14542,1.6752,590.281,595.915
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,1,32.781,535.796,3.11082,1.09978,569.886,572.787
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,2,32.9695,524.73,3.13209,1.0967,557.124,561.929
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,3,36.2203,542.067,3.1058,1.00138,580.81,582.394
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,4,36.2739,518.354,3.10916,1.00141,558.66,558.739
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,5,36.6069,516.231,3.13269,1.00448,557.122,556.975
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,6,36.6133,504.867,3.12182,1.00038,545.742,545.602
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,7,36.2906,504.885,3.1105,1.00038,545.433,545.287
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,8,36.2321,519.699,3.12592,0.999392,560.198,560.056
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,9,36.291,531.009,3.12627,1.00038,571.579,571.426
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,10,36.3232,521.704,3.1167,1.00035,562.134,562.144
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,11,36.3421,504.856,3.20844,1.02086,544.597,545.427
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,12,36.2941,506.806,3.11579,0.998368,546.162,547.214
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,13,36.322,504.182,3.10987,0.998336,542.53,544.612
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,14,36.3854,506.069,3.11411,1.00141,545.701,546.57
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,15,36.1886,500.555,3.1299,1.00342,539.653,540.877
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,16,37.3054,500.575,3.20122,1.02397,540.908,542.105
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,17,36.1767,502.222,3.11801,0.99936,541.742,542.516
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,18,36.1568,500.585,3.12894,0.99936,540.641,540.87
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,19,36.1622,507.864,3.12393,0.998304,546.582,548.149
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,20,36.2415,498.726,3.11551,1.00038,538.071,539.084
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,21,36.5505,511.529,3.12097,1.00141,552.341,552.202
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,22,36.1695,513.409,3.11708,0.997344,553.181,553.693
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,23,36.3138,537.913,3.10394,1.00246,578.326,578.333
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,24,36.4284,532.534,3.13305,1.00342,573.251,573.099
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,25,36.1549,528.394,3.12441,1.00554,567.36,568.679
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,26,36.0329,515.204,3.12159,1.00045,555.057,555.359
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,27,36.0631,504.691,3.1157,0.999392,544.202,544.869
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,28,36.2025,504.066,3.11064,0.998304,544.229,544.377
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",4,406,29,36.3559,542.599,3.11527,1.00451,581.239,583.074
