dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,0,0.684,12.7204,1.09273,0.671744,15.2732,15.1689
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,1,0.218144,2.70563,1.08037,0.454656,4.54074,4.4588
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,2,0.216672,2.67785,1.03074,0.454656,4.4611,4.37991
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,3,0.219488,2.70289,1.0422,0.456704,4.47635,4.42128
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,4,0.2192,2.69043,1.03366,0.454656,4.48532,4.39795
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,5,0.215776,2.67706,1.04883,0.45568,4.48459,4.39734
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,6,0.2176,2.68602,1.0376,0.454656,4.47579,4.39587
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,7,0.21712,2.81514,1.04726,0.456704,4.6288,4.53622
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,8,0.216128,2.67197,1.04855,0.454656,4.47766,4.3913
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,9,0.2168,2.68394,1.04613,0.453632,4.47832,4.4005
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,10,0.216384,2.74213,1.04175,0.454656,4.48254,4.45492
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,11,0.229952,2.70664,1.04234,0.454656,4.51489,4.43359
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,12,0.220544,2.71384,1.04923,0.453632,4.49447,4.43725
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,13,0.220384,2.69067,1.05327,0.45568,4.48492,4.42001
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,14,0.215712,2.71477,1.0467,0.454656,4.52072,4.43184
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,15,0.216928,2.68939,1.04822,0.456704,4.45751,4.41124
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,16,0.216576,2.80006,1.03966,0.452608,4.45983,4.50891
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,17,0.216544,2.69219,1.03985,0.45568,4.47816,4.40427
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,18,0.218528,2.8592,1.03531,0.454656,4.61397,4.5677
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,19,0.21264,2.7675,1.04272,0.456704,4.56612,4.47956
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,20,0.229888,2.66879,1.05606,0.454656,4.49503,4.4094
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,21,0.21728,2.67238,1.09561,0.451584,4.53142,4.43685
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,22,0.21744,2.6964,1.05164,0.454656,4.47324,4.42013
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,23,0.218048,2.68454,1.04034,0.454656,4.47804,4.39758
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,24,0.218816,2.68006,1.0569,0.458752,4.48469,4.41452
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,25,0.215776,2.6742,1.03661,0.453632,4.46803,4.38021
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,26,0.21808,2.68004,1.04198,0.452608,4.47471,4.3927
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,27,0.216736,2.65675,1.03739,0.453632,4.44302,4.36451
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,28,0.214432,2.6746,1.0504,0.45568,4.48655,4.39511
3,double,uniform,GPU,"P | P | P | P | D | N",4,256,29,0.229568,2.78502,1.04906,0.45568,4.60329,4.51933
