dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,0,0.523552,0.226553,0.831387,0.485376,2.18453,2.06687
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,1,0.146528,0.213331,0.813641,0.289792,1.59712,1.46329
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,2,0.143104,0.214049,0.788559,0.289792,1.5702,1.4355
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,3,0.13536,0.213563,0.798821,0.28672,1.56713,1.43446
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,4,0.146272,0.212355,0.800361,0.290816,1.58469,1.4498
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,5,0.144768,0.212021,0.811388,0.288768,1.5893,1.45694
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,6,0.135744,0.213696,0.81495,0.287744,1.59052,1.45213
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,7,0.138016,0.214305,0.808238,0.288736,1.58986,1.44929
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,8,0.139264,0.214309,0.802139,0.284672,1.57449,1.44038
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,9,0.147264,0.21441,0.806699,0.288768,1.59114,1.45714
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,10,0.1432,0.213286,0.804408,0.284672,1.57948,1.44557
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,11,0.132128,0.215574,0.806399,0.288768,1.58273,1.44287
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,12,0.142048,0.211165,0.806513,0.284672,1.57882,1.4444
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,13,0.145344,0.214782,0.80648,0.283648,1.58701,1.45025
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,14,0.143488,0.211163,0.806103,0.29696,1.59195,1.45771
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,15,0.136256,0.2127,0.806162,0.282624,1.57862,1.43774
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,16,0.137472,0.214317,0.809162,0.290816,1.59094,1.45177
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,17,0.142176,0.217811,0.809847,0.288768,1.59282,1.4586
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,18,0.14032,0.212112,0.808305,0.285696,1.58196,1.44643
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,19,0.138816,0.21305,0.802949,0.28672,1.57657,1.44153
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,20,0.145344,0.215257,0.805721,0.283648,1.5856,1.44997
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,21,0.138528,0.211894,0.804459,0.28672,1.57772,1.4416
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,22,0.142464,0.217554,0.80471,0.292864,1.59484,1.45759
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,23,0.146016,0.212112,0.805104,0.287744,1.58415,1.45098
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,24,0.144704,0.216383,0.809646,0.28672,1.59525,1.45745
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,25,0.14144,0.211417,0.808018,0.289792,1.58417,1.45067
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,26,0.140864,0.213824,0.812737,0.290816,1.59445,1.45824
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,27,0.134624,0.214365,0.80571,0.287744,1.59587,1.44244
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,28,0.139232,0.211309,0.802687,0.288768,1.57472,1.442
3,float,uniform,GPU,"P | P | P | P | D | N",1,161,29,0.14672,0.213646,0.803972,0.288768,1.61485,1.45311
