dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,0,0.737344,2.03031,3.89347,2.20877,9.01087,8.8699
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,1,0.704832,2.00518,3.86327,1.75821,8.47167,8.33149
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,2,0.703328,2.0057,3.8218,1.75411,8.42436,8.28494
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,3,0.706912,2.00438,3.82925,1.75616,8.4346,8.29671
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,4,0.701152,2.00776,3.82603,1.75514,8.43102,8.29008
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,5,0.701888,2.00528,3.83194,1.75104,8.43173,8.29014
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,6,0.7048,2.00908,3.82528,1.75411,8.43351,8.29327
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,7,0.703712,2.00773,3.82671,1.75923,8.42971,8.29738
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,8,0.703616,2.00688,3.82085,1.75411,8.42315,8.28547
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,9,0.701312,2.00972,3.83138,1.75309,8.43395,8.2955
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,10,0.703552,2.00488,3.82427,1.75616,8.42899,8.28886
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,11,0.70192,2.00658,3.83055,1.75411,8.43207,8.29316
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,12,0.702144,2.00756,3.82288,1.75309,8.42522,8.28567
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,13,0.705504,2.00872,3.82363,1.75514,8.43034,8.29298
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,14,0.70576,2.0063,3.83802,1.75411,8.42987,8.30419
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,15,0.7048,2.00792,3.82503,1.75309,8.42957,8.29084
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,16,0.705728,2.00898,3.82946,1.75514,8.43891,8.2993
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,17,0.70256,2.00609,3.83576,1.75411,8.43724,8.29851
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,18,0.70176,2.00783,3.82816,1.75411,8.42978,8.29186
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,19,0.700448,2.00705,3.82255,1.75514,8.42821,8.28519
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,20,0.704896,2.00567,3.83975,1.75411,8.4431,8.30443
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,21,0.70656,2.00844,3.82278,1.75514,8.43238,8.29292
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,22,0.703616,2.00719,3.82576,1.75923,8.43418,8.29579
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,23,0.703072,2.00546,3.82442,1.75309,8.42217,8.28603
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,24,0.703968,2.0063,3.82784,1.75616,8.43176,8.29426
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,25,0.706176,2.0067,3.82992,1.75309,8.43672,8.29588
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,26,0.702784,2.00777,3.82627,1.75514,8.43132,8.29196
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,27,0.701696,2.00419,3.82759,1.75411,8.42739,8.28759
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,28,0.704256,2.01133,3.82655,1.75309,8.43372,8.29522
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,256,29,0.702048,2.00663,3.83319,1.75514,8.43599,8.297
