dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,0,37.4906,668.816,3.19229,1.78378,706.492,711.283
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,1,37.4259,592.185,3.18203,1.03008,631.819,633.823
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,2,37.3723,599.71,3.16051,1.03005,637.687,641.273
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,3,37.8186,597.572,3.16825,1.02698,634.93,639.586
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,4,37.302,583.119,3.19659,1.0311,623.198,624.649
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,5,37.3174,590.219,3.17736,1.02701,626.981,631.741
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,6,37.3858,577.157,3.22013,1.03725,616.423,618.8
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,7,37.485,591.649,3.1991,1.03728,633.528,633.37
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,8,37.2221,571.931,3.158,1.01987,611.866,613.331
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,9,37.3471,583.045,3.16861,1.02806,618.816,624.589
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,10,37.326,600.627,3.1914,1.02803,635.944,642.172
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,11,37.6246,581.373,3.17976,1.03005,623.355,623.207
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,12,37.7747,580.512,3.20246,1.03008,622.668,622.52
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,13,37.2503,574.738,3.17028,1.02906,614.532,616.188
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,14,37.8841,579.704,3.18587,1.03523,621.986,621.809
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,15,37.8384,569.767,3.27142,1.05981,612.097,611.937
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,16,37.7359,594.613,3.19033,1.04138,636.73,636.58
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,17,38.0637,586.626,3.20913,1.03315,629.076,628.932
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,18,38.1446,589.165,3.18703,1.02698,631.693,631.524
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,19,37.5457,603.329,3.1967,1.02912,645.251,645.101
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,20,37.3596,624.331,3.18525,1.03008,652.971,665.906
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,21,37.59,616.195,3.21059,1.0352,658.346,658.031
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,22,38.5833,598.259,3.1575,1.03011,630.008,641.03
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,23,37.6174,583.344,3.18682,1.03315,625.339,625.181
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,24,37.5594,577.879,3.20422,1.03318,619.82,619.676
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,25,37.4013,580.607,3.18386,1.02704,621.722,622.219
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,26,37.4635,580.049,3.18574,1.03216,621.893,621.731
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,27,37.5723,575.256,3.19646,1.03421,617.212,617.059
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,28,38.0215,580.146,3.18252,1.0311,622.532,622.381
3,float,uniform,CPU,"P | P | P | P | N | D",6,465,29,37.5478,578.732,3.21594,1.03315,620.674,620.529
