dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,0,64.0605,812.142,4.40911,1.89638,886.26,882.508
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,1,64.4774,775.898,4.47216,1.54522,849.796,846.393
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,2,64.1212,768.99,4.39328,1.5544,842.43,839.059
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,3,63.5681,759.342,4.35664,1.5288,832.135,828.796
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,4,64.4714,810.297,4.42438,1.5503,884.075,880.743
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,5,63.854,735.601,4.36212,1.53904,808.762,805.356
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,6,63.8513,766.798,4.42825,1.59946,840.005,836.677
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,7,63.6857,782.718,4.42151,1.57699,855.737,852.402
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,8,63.6229,745.172,4.39489,1.56979,818.124,814.759
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,9,63.8806,763.134,4.42675,1.54925,836.351,832.991
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,10,63.4916,741.858,4.36322,1.53907,814.569,811.252
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,11,64.4719,760.776,4.36967,1.56771,834.512,831.185
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,12,63.8331,776.54,4.39223,1.52986,849.649,846.295
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,13,63.8411,750.937,4.43573,1.54211,824.078,820.756
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,14,63.6232,762.087,4.37047,1.56467,835.014,831.646
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,15,64.3789,752.143,4.39067,1.54518,825.757,822.457
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,16,63.6154,799.031,4.40448,1.52368,871.938,868.575
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,17,63.9017,793.221,4.40281,1.61482,866.397,863.14
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,18,63.8138,778.76,4.42807,1.536,851.841,848.538
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,19,63.8952,740.315,4.37835,1.54013,813.435,810.129
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,20,63.9011,744.639,4.35053,1.59331,817.754,814.484
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,21,63.8455,743.089,4.47788,1.56358,816.28,812.976
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,22,64.3175,766.974,4.43996,1.55846,840.68,837.29
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,23,63.8552,784.957,4.39859,1.6015,858.071,854.812
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,24,63.8781,785.18,4.36294,1.53398,858.269,854.955
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,25,64.0448,802.28,4.43954,1.54723,875.673,872.311
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,26,63.7747,755.372,4.34993,1.53907,828.392,825.036
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,27,63.8362,751.004,4.36951,1.49805,824.066,820.708
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,28,63.8213,765.146,4.41998,1.54928,838.321,834.937
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,406,29,64.9774,762.902,4.37973,1.56157,837.198,833.821
