dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,0,68.7869,1101.93,6.27188,2.45446,1179.64,1179.44
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,1,67.9421,1095.93,6.2315,1.77152,1172.03,1171.87
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,2,68.2533,1115.54,6.25563,1.77459,1191.99,1191.83
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,3,68.1094,1100.21,6.26042,1.78173,1176.51,1176.36
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,4,68.0211,1109.49,6.28831,1.77453,1185.73,1185.58
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,5,68.5172,1054.87,6.26139,1.77453,1130.65,1131.42
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,6,68.15,1010.01,6.28512,1.77968,1086.38,1086.22
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,7,68.2143,1117.15,6.20592,1.77459,1193.5,1193.35
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,8,68.5446,1159.39,6.21953,1.77552,1236.08,1235.93
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,9,68.068,1076.4,6.3227,1.78986,1152.52,1152.58
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,10,67.979,1044.34,6.23756,1.77251,1120.48,1120.33
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,11,68.7749,1070.22,6.35865,1.79094,1147.33,1147.14
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,12,68.0143,1090.81,6.22297,1.7735,1166.97,1166.82
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,13,68.0101,1037.18,6.27087,1.77661,1113.38,1113.24
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,14,67.9911,1106.66,6.22313,1.77248,1182.8,1182.65
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,15,68.1496,1052.63,6.26651,1.77248,1128.97,1128.82
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,16,67.9739,1039.91,6.24922,1.77046,1116.06,1115.91
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,17,68.1482,1026.86,6.24759,1.77251,1103.19,1103.03
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,18,69.1605,1047.45,6.2377,1.77152,1123.59,1124.62
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,19,67.964,1057.95,6.22032,1.77859,1134.06,1133.91
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,20,68.8283,1056.51,6.25201,1.77142,1133.51,1133.36
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,21,68.2059,1041.63,6.2251,1.77456,1117.96,1117.83
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,22,68.06,1049.54,6.25202,1.77251,1125.77,1125.62
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,23,67.6998,1029.16,6.25309,1.77248,1105.03,1104.88
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,24,68.6126,1066.35,6.26756,1.77661,1143.16,1143.01
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,25,67.8369,1037.24,6.325,1.78374,1113.37,1113.19
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,26,67.8459,1070.25,6.29211,1.7776,1146.31,1146.16
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,27,68.1786,1069.52,6.25713,1.77347,1145.88,1145.72
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,28,67.6608,1071.12,6.24416,1.77558,1146.96,1146.8
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,465,29,67.727,1053.7,6.26118,1.77354,1129.61,1129.46
