dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,0,0.478912,644.65,3.22769,1.73568,650.277,650.093
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,1,0.432736,600.953,3.18718,1.04029,605.75,605.614
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,2,0.43184,577.513,3.20603,1.04134,582.326,582.193
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,3,0.433792,585.393,3.19847,1.04032,590.206,590.065
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,4,0.429632,574.666,3.18919,1.03824,579.461,579.323
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,5,0.454016,579.01,3.17305,1.1008,583.552,583.738
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,6,0.429536,591.482,3.18902,1.04854,596.284,596.149
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,7,0.433568,605.092,3.22654,1.03725,609.929,609.789
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,8,0.434912,583.587,3.19395,1.04342,588.396,588.259
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,9,0.435456,579.019,3.18048,1.03936,581.983,583.674
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,10,0.437504,587.005,3.19755,1.0455,591.604,591.686
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,11,0.455392,589.422,3.21073,1.12128,593.876,594.21
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,12,0.435552,570.643,3.2026,1.10592,575.327,575.387
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,13,0.432704,576.52,3.18284,1.03725,579.389,581.173
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,14,0.43216,597.203,3.16789,1.04438,601.984,601.847
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,15,0.432352,590.903,3.18828,1.03421,595.17,595.558
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,16,0.431904,575.894,3.20421,1.03005,578.389,580.56
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,17,0.43296,580.141,3.19651,1.10694,584.628,584.877
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,18,0.433344,585.355,3.18648,1.10387,587.259,590.079
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,19,0.43232,579.326,3.17508,1.04851,584.129,583.982
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,20,0.434496,577.572,3.16957,1.11002,580.836,582.286
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,21,0.432096,595.85,3.20762,1.04758,600.685,600.538
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,22,0.432096,577.737,3.19467,1.10694,581.54,582.47
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,23,0.430912,580.581,3.18623,1.10182,582.012,585.3
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,24,0.43104,575.684,3.24856,1.05469,574.734,580.418
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,25,0.4352,605.597,3.18511,1.03424,597.845,610.251
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,26,0.430304,613.457,3.17185,1.04445,618.236,618.103
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,27,0.43232,629.406,3.18008,1.03418,632.393,634.052
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,28,0.434208,579.604,3.17208,1.10797,583.646,584.318
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",6,465,29,0.433568,571.373,3.21701,1.04448,576.21,576.068
