dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,0,23.0242,203.233,1.98499,0.597952,228.992,228.84
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,1,21.7047,129.372,1.95073,0.277472,153.258,153.305
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,2,21.4099,137.882,1.96547,0.27952,161.617,161.537
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,3,21.5724,138.691,1.95795,0.281568,162.592,162.503
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,4,21.7204,127.658,1.94374,0.27952,151.529,151.601
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,5,21.4791,137.7,1.94979,0.278464,161.474,161.408
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,6,21.458,126.281,1.94362,0.27744,150.034,149.96
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,7,21.4605,132.582,1.94504,0.27744,156.324,156.265
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,8,21.4817,126.443,1.95389,0.278496,150.225,150.157
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,9,21.7169,133.534,1.94913,0.279488,157.516,157.479
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,10,21.5835,137.691,1.95405,0.27952,161.527,161.508
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,11,21.5586,128.175,1.94866,0.281568,152.051,151.964
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,12,21.7031,126.804,1.94169,0.277504,150.675,150.726
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,13,21.4577,138.515,1.94724,0.276416,162.232,162.196
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,14,21.4893,127.563,1.95556,0.2816,151.346,151.289
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,15,21.6096,117.974,1.94046,0.27648,141.83,141.801
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,16,21.7818,129.877,1.94333,0.284672,153.813,153.886
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,17,21.8134,135.314,1.95198,0.276448,159.354,159.356
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,18,21.8076,133.61,1.98161,0.285664,157.794,157.685
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,19,21.5574,137.138,1.95096,0.280544,160.987,160.927
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,20,21.511,134.166,1.93851,0.278464,157.931,157.894
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,21,21.8106,133.625,1.96187,0.278528,157.782,157.676
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,22,21.6896,133.836,1.96037,0.278464,157.792,157.764
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,23,21.4167,133.549,1.94942,0.278464,157.248,157.193
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,24,21.5869,134.127,1.94385,0.278496,158.008,157.937
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,25,21.8153,131.431,1.95789,0.285632,155.603,155.49
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,26,21.4952,133.99,1.94845,0.280512,157.789,157.715
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,27,21.542,134.009,1.94681,0.277472,157.759,157.775
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,28,21.4974,135.447,1.93477,0.279488,159.221,159.159
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,29,21.8005,117.875,1.96195,0.284608,142.031,141.922
