dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,0,0.470304,325.228,7.9349,1.10896,334.913,334.742
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,1,0.428128,274.319,7.96612,0.5048,283.328,283.219
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,2,0.440736,278.926,7.95213,0.502784,287.93,287.822
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,3,0.425632,276.36,7.95179,0.50272,285.345,285.24
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,4,0.426336,278.579,7.93815,0.500704,287.191,287.444
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,5,0.42768,274.878,7.9339,0.496608,283.842,283.736
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,6,0.425792,274.482,7.94013,0.500704,283.455,283.349
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,7,0.425536,263.458,7.95775,0.498624,272.447,272.34
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,8,0.43152,260.019,7.95643,0.50272,269.021,268.91
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,9,0.425248,257.766,7.91786,0.498656,266.71,266.608
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,10,0.426272,256.93,7.92393,0.501728,265.885,265.782
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,11,0.430464,260.049,7.93835,0.502784,269.021,268.921
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,12,0.438112,261.972,7.91269,0.495552,270.892,270.819
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,13,0.425888,261.89,8.01256,0.520128,270.953,270.848
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,14,0.42864,262.287,7.93529,0.49968,271.255,271.151
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,15,0.42544,267.047,7.80842,0.485344,272.383,275.766
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,16,0.427808,264.655,7.91818,0.500672,273.604,273.502
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,17,0.429312,267.032,7.94726,0.497664,276.017,275.906
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,18,0.425408,259.629,7.83178,0.482304,265.934,268.369
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,19,0.42544,263.888,7.93583,0.499648,272.851,272.749
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,20,0.427904,264.387,7.96891,0.501728,273.388,273.285
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,21,0.423328,264.46,7.8103,0.479232,272.022,273.173
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,22,0.425664,259.018,7.95114,0.505824,267.999,267.901
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,23,0.427616,263.69,7.94129,0.503776,272.675,272.563
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,24,0.427008,274.745,7.94612,0.497632,283.718,283.616
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,25,0.428704,264.296,7.94122,0.501696,273.272,273.168
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,26,0.427584,256.53,7.9281,0.497632,265.488,265.383
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,27,0.440608,263.81,7.98295,0.505856,272.843,272.739
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,28,0.424576,255.277,7.92237,0.499712,264.225,264.123
3,float,uniform,GPU,"D | D | D | D | N | D",6,465,29,0.42896,258.025,7.95612,0.498624,267.014,266.909
