dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,0,38.3583,0,2227.82,1.04243,2266.48,2267.22
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,1,37.7641,0,1744.51,0.497664,1782.87,1782.77
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,2,37.4424,0,1748.73,0.508928,1786.8,1786.68
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,3,39.529,0,1738.38,0.50272,1778.55,1778.41
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,4,38.0006,0,1733.76,0.497664,1772.36,1772.25
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,5,38.4154,0,1742.26,0.48128,1779.27,1781.15
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,6,38.0911,0,1730.43,0.494592,1769.13,1769.02
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,7,37.7639,0,1733.27,0.505824,1771.67,1771.54
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,8,37.5356,0,1725.5,0.49456,1763.63,1763.53
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,9,38.5419,0,1739.48,0.482304,1778.49,1778.51
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,10,37.2523,0,1909.01,0.482304,1918.1,1946.75
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,11,38.0528,0,1736.44,0.504832,1775.12,1775
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,12,37.998,0,1732.39,0.490528,1770.99,1770.88
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,13,37.1934,0,1900.62,0.482304,1910.38,1938.3
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,14,37.3,0,1901.58,0.483328,1905.65,1939.36
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,15,38.5018,0,1737.7,0.482304,1775.53,1776.69
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,16,37.2942,0,1729.37,0.491552,1766.43,1767.15
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,17,37.3557,0,1911.74,0.483328,1910.47,1949.58
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,18,37.2585,0,1907.24,0.485376,1908.44,1944.98
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,19,37.3375,0,1729.95,0.483328,1767.73,1767.77
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,20,37.4059,0,1729.58,0.4864,1767.33,1767.47
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,21,37.5766,0,1732.92,0.490496,1771.08,1770.98
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,22,37.6756,0,1739.48,0.4864,1777.74,1777.64
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,23,37.3843,0,1720.71,0.492544,1758.7,1758.59
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,24,37.7448,0,1730.32,0.493568,1768.66,1768.56
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,25,37.9807,0,1742.8,0.49152,1781.38,1781.28
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,26,37.4369,0,1722.28,0.493568,1760.32,1760.21
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,27,37.3163,0,1894.77,0.492544,1899.9,1932.58
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,28,37.2139,0,1906.26,0.490528,1905.81,1943.96
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,29,37.1637,0,1896.67,0.483328,1897.68,1934.31
