dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,0,13.8978,188.406,1.33544,0.541632,204.357,204.181
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,1,12.17,110.584,1.23459,0.207808,124.289,124.196
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,2,12.3571,109.241,1.32928,0.21088,123.25,123.138
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,3,12.2712,101.159,1.31942,0.211904,115.068,114.962
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,4,12.1953,98.1928,1.32684,0.215008,112.03,111.93
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,5,11.4365,105.658,1.25397,0.206848,118.529,118.555
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,6,12.2367,105.377,1.32014,0.210912,119.247,119.145
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,7,11.4105,102.42,1.25892,0.206848,115.142,115.296
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,8,11.5371,103.989,1.25312,0.203744,116.606,116.983
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,9,12.2598,104.526,1.32716,0.211936,118.44,118.325
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,10,11.6601,106.012,1.26055,0.205824,117.177,119.139
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,11,12.3123,104.793,1.3289,0.219104,118.772,118.653
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,12,12.3103,99.1332,1.34047,0.212928,113.141,112.997
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,13,11.4058,101.906,1.25399,0.206816,114.813,114.772
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,14,12.2905,100.911,1.32824,0.209888,114.841,114.74
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,15,12.3831,98.3224,1.31963,0.209856,112.339,112.235
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,16,12.2514,99.5474,1.24458,0.203712,113.324,113.247
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,17,12.283,100.893,1.23152,0.204736,114.709,114.612
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,18,12.245,99.4471,1.22805,0.20992,113.192,113.13
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,19,12.1685,100.436,1.23131,0.206816,114.143,114.043
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,20,11.4907,103.117,1.25046,0.203776,115.855,116.062
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,21,12.273,109.833,1.37825,0.216,123.805,123.701
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,22,12.1351,103.285,1.2345,0.20576,116.973,116.86
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,23,12.3177,100.563,1.32893,0.213984,114.53,114.424
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,24,12.1052,102.447,1.23414,0.204736,116.094,115.991
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,25,12.3314,98.7718,1.32604,0.212928,112.763,112.642
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,26,12.2932,96.7382,1.31872,0.209888,110.662,110.56
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,27,12.2247,104.761,1.32408,0.213984,118.626,118.524
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,28,11.5366,100.656,1.25114,0.205792,113.536,113.649
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,369,29,12.097,100.323,1.22595,0.203744,113.953,113.85
