dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,0,0.6448,8.91757,1.2839,0.390144,11.3727,11.2364
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,1,0.243104,1.4044,1.26955,0.22016,3.2125,3.13721
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,2,0.245664,1.41325,1.25152,0.22016,3.20652,3.1306
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,3,0.248416,1.41895,1.25285,0.221184,3.21738,3.1414
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,4,0.2552,1.40622,1.25965,0.218112,3.21458,3.13918
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,5,0.24672,1.41531,1.26058,0.221184,3.22337,3.14379
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,6,0.24272,1.42083,1.25552,0.22016,3.21611,3.13923
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,7,0.244512,1.40832,1.25857,0.222208,3.20702,3.13361
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,8,0.247808,1.4115,1.2527,0.219136,3.20609,3.13115
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,9,0.245856,1.4146,1.26096,0.221184,3.21793,3.1426
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,10,0.246432,1.42652,1.25403,0.221184,3.22529,3.14816
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,11,0.247008,1.41733,1.3636,0.221184,3.33901,3.24913
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,12,0.246432,1.41833,1.27186,0.221184,3.23422,3.15781
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,13,0.246016,1.42584,1.2578,0.218112,3.22364,3.14776
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,14,0.24704,1.45,1.25922,0.218112,3.25019,3.17437
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,15,0.246528,1.41355,1.2539,0.221184,3.21272,3.13516
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,16,0.24544,1.4061,1.25878,0.22016,3.20437,3.13048
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,17,0.271712,1.41467,1.2474,0.221184,3.22373,3.15497
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,18,0.253184,1.40976,1.24886,0.222208,3.20995,3.13402
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,19,0.246144,1.41157,1.25378,0.22016,3.2078,3.13165
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,20,0.248352,1.42343,1.25947,0.229376,3.23322,3.16063
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,21,0.246592,1.41367,1.26067,0.22016,3.21864,3.14109
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,22,0.244,1.41223,1.25374,0.224256,3.20723,3.13423
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,23,0.247584,1.42299,1.25474,0.22016,3.23642,3.14548
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,24,0.246112,1.41199,1.25724,0.22016,3.20903,3.1355
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,25,0.247712,1.41861,1.25782,0.22016,3.22433,3.1443
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,26,0.244864,1.4205,1.25367,0.219136,3.21534,3.13817
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,27,0.2464,1.4109,1.26027,0.221184,3.21374,3.13875
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,28,0.24736,1.41095,1.25876,0.219136,3.21194,3.1362
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,29,0.24848,1.41489,1.25842,0.222208,3.22037,3.144
