dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,0,0.83728,0,2992.55,1.27386,2994.84,2994.66
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,1,0.756416,0,2516.84,0.7496,2518.44,2518.35
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,2,0.770784,0,2476.14,0.754816,2477.79,2477.67
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,3,0.75568,0,2479.79,0.741376,2481.38,2481.28
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,4,0.764992,0,2466.47,0.75568,2468.12,2467.99
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,5,0.767712,0,2460.99,0.752672,2462.63,2462.51
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,6,0.75728,0,2459.56,0.746496,2461.16,2461.06
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,7,0.766272,0,2463,0.742368,2464.62,2464.51
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,8,0.756896,0,2455.48,0.753664,2457.09,2456.99
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,9,0.756896,0,2464.74,0.743424,2466.33,2466.24
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,10,0.758208,0,2465.1,0.741376,2466.69,2466.6
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,11,0.764672,0,2482.75,0.751616,2484.39,2484.27
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,12,0.755904,0,2453.34,0.743424,2454.93,2454.84
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,13,0.7752,0,2468.42,0.74752,2470.06,2469.94
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,14,0.754304,0,2463.55,0.745472,2465.14,2465.05
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,15,0.754848,0,2455.24,0.744448,2456.83,2456.74
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,16,0.75648,0,2457.85,0.743392,2459.44,2459.35
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,17,0.753248,0,2479.27,0.74544,2480.86,2480.77
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,18,0.754464,0,2472.86,0.744448,2474.46,2474.36
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,19,0.760896,0,2464.97,0.7424,2466.57,2466.48
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,20,0.754656,0,2464.5,0.7424,2466.09,2466
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,21,0.762304,0,2459.7,0.739328,2461.29,2461.2
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,22,0.757184,0,2481.25,0.7424,2482.84,2482.75
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,23,0.756928,0,2463.45,0.742368,2465.04,2464.95
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,24,0.756256,0,2458.51,0.743424,2460.1,2460.01
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,25,0.75568,0,2450.34,0.746496,2451.94,2451.85
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,26,0.754624,0,2461.34,0.739328,2462.93,2462.83
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,27,0.754976,0,2465.09,0.74752,2466.69,2466.6
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,28,0.757376,0,2467.36,0.743424,2468.95,2468.86
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,29,0.76256,0,2483.83,0.746496,2481.92,2485.34
