dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,0,9.06445,11.9235,0.455661,0.26624,21.4877,21.7098
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,1,7.89427,1.86871,0.426696,0.129024,10.1968,10.3187
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,2,7.84106,1.87455,0.38414,0.131072,10.1358,10.2308
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,3,7.83338,1.88248,0.386431,0.131072,10.1474,10.2334
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,4,7.78672,1.90819,0.393278,0.129024,10.0982,10.2172
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,5,7.87869,1.88486,0.405558,0.131072,10.0355,10.3002
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,6,7.77728,2.00067,0.392166,0.130048,10.1199,10.3002
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,7,7.86128,1.87415,0.393398,0.132096,10.1722,10.2609
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,8,7.91651,1.8858,0.390806,0.132096,10.054,10.3252
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,9,7.7455,1.86266,0.389466,0.132096,9.97983,10.1297
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,10,7.80883,1.88166,0.391767,0.132096,10.0365,10.2144
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,11,7.78106,1.93368,0.386855,0.13312,10.1522,10.2347
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,12,7.77418,1.8708,0.389623,0.130048,10.034,10.1646
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,13,7.78461,2.02757,0.390483,0.132096,10.2037,10.3348
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,14,7.82022,1.94558,0.394786,0.132096,10.1635,10.2927
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,15,7.86278,1.86998,0.394028,0.129024,10.0908,10.2558
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,16,7.8031,1.91214,0.39074,0.128,9.99943,10.234
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,17,7.77277,1.9611,0.382499,0.128,10.0994,10.2444
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,18,7.77242,1.86535,0.391817,0.134144,9.95012,10.1637
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,19,7.79357,1.86503,0.389982,0.140288,10.0147,10.1889
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,20,7.83136,1.89156,0.391374,0.13312,10.2071,10.2474
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,21,7.78022,1.902,0.498853,0.132096,10.1665,10.3132
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,22,7.87453,1.86135,0.39066,0.130048,10.0463,10.2566
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,23,7.76554,1.99406,0.394705,0.129024,10.188,10.2833
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,24,7.81139,1.89142,0.392775,0.128,10.0611,10.2236
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,25,7.80643,1.95102,0.387404,0.13312,10.0104,10.278
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,26,7.75725,1.86962,0.392781,0.131072,9.96591,10.1507
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,27,7.83533,1.87934,0.391232,0.131072,10.1576,10.237
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,28,7.81942,1.85909,0.391251,0.130048,10.0633,10.1998
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,29,7.70608,1.86541,0.390433,0.13312,9.91475,10.095
