dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,0,0.550112,0.310077,0.558471,0.489472,2.56997,1.90813
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,1,0.1272,0.299884,0.55304,0.311296,1.82657,1.29142
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,2,0.1304,0.295005,0.520423,0.308224,1.79794,1.25405
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,3,0.130656,0.298307,0.525838,0.306176,1.80041,1.26098
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,4,0.125152,0.297876,0.522649,0.309248,1.80239,1.25493
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,5,0.128128,0.296669,0.526354,0.3072,1.78947,1.25835
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,6,0.127424,0.295269,0.524247,0.310272,1.79209,1.25721
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,7,0.128192,0.300308,0.526171,0.310272,1.82949,1.26494
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,8,0.125952,0.2951,0.522539,0.3072,1.78901,1.25079
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,9,0.126656,0.295661,0.521241,0.3072,1.78694,1.25076
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,10,0.12368,0.300504,0.523408,0.308224,1.80082,1.25582
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,11,0.129472,0.296902,0.523189,0.31232,1.80964,1.26188
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,12,0.124576,0.296244,0.546792,0.310272,1.81795,1.27788
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,13,0.132256,0.29655,0.521712,0.314368,1.78759,1.26489
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,14,0.13328,0.296287,0.523739,0.3072,1.80645,1.26051
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,15,0.123648,0.296523,0.521632,0.309248,1.79228,1.25105
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,16,0.12192,0.299071,0.525694,0.306176,1.78973,1.25286
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,17,0.127712,0.295139,0.522395,0.310272,1.79068,1.25552
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,18,0.124224,0.295495,0.523557,0.311296,1.79288,1.25457
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,19,0.125568,0.300381,0.519961,0.31232,1.79793,1.25823
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,20,0.126336,0.294128,0.522593,0.3072,1.79112,1.25026
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,21,0.125632,0.297717,0.522445,0.311296,1.79872,1.25709
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,22,0.130752,0.297756,0.526176,0.310272,1.80385,1.26496
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,23,0.12624,0.296652,0.523794,0.309248,1.80798,1.25593
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,24,0.124096,0.298591,0.520923,0.306176,1.79082,1.24979
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,25,0.12512,0.296056,0.526676,0.308224,1.84285,1.25608
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,26,0.124736,0.297661,0.522629,0.308224,1.78889,1.25325
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,27,0.129376,0.303945,0.522471,0.31232,1.81209,1.26811
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,28,0.122272,0.29605,0.523809,0.3072,1.78598,1.24933
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,161,29,0.131552,0.302224,0.522393,0.3072,1.8034,1.26337
