dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,0,0.72432,187.087,1.80306,0.501728,188.984,190.116
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,1,0.20128,101.524,1.77583,0.200672,100.163,103.702
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,2,0.204672,97.2994,1.7759,0.1976,99.0464,99.4776
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,3,0.202464,95.4453,1.7749,0.201696,95.9633,97.6244
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,4,0.203904,96.958,1.77513,0.199648,97.6294,99.1367
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,5,0.200544,98.3396,1.77612,0.200672,98.8858,100.517
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,6,0.200032,99.8635,1.77457,0.201728,98.1883,102.04
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,7,0.20208,97.0971,1.80448,0.19968,97.426,99.3033
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,8,0.198944,102.34,1.76981,0.198656,103.144,104.507
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,9,0.204864,99.4573,1.77695,0.200704,101.572,101.64
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,10,0.197248,97.6653,1.77106,0.195584,99.0452,99.8292
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,11,0.205376,100.399,1.79854,0.198592,102.653,102.602
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,12,0.19888,99.8918,1.78251,0.198656,100.29,102.072
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,13,0.201024,98.1163,1.79311,0.196608,100.32,100.307
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,14,0.196,96.0376,1.7677,0.19968,96.9549,98.201
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,15,0.200864,97.3737,1.78114,0.193472,99.5594,99.5492
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,16,0.200288,97.7774,1.77223,0.201696,99.5686,99.9516
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,17,0.20672,98.2693,1.79286,0.19552,100.516,100.464
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,18,0.201152,98.5702,1.77085,0.19968,100.491,100.742
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,19,0.199456,96.9253,1.7732,0.199648,98.5781,99.0976
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,20,0.204608,98.6369,1.78425,0.192448,100.819,100.818
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,21,0.20032,99.0448,1.82318,0.201696,99.8845,101.27
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,22,0.202176,104.139,1.78561,0.1976,106.351,106.325
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,23,0.195168,97.885,1.76809,0.197632,99.8986,100.046
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,24,0.202976,97.9758,1.78351,0.19248,100.167,100.155
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,25,0.20704,97.3031,1.77213,0.198592,97.8393,99.4808
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,26,0.207136,96.5005,1.78758,0.196576,98.7458,98.6918
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,27,0.2032,96.4278,1.79449,0.199648,98.6379,98.6251
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,28,0.197728,95.5593,1.76952,0.200704,96.9509,97.7272
3,float,uniform,GPU,"D | D | D | D | D | D",8,369,29,0.201376,96.3057,1.76748,0.199648,98.111,98.4742
