dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,0,37.1828,651.314,3.20964,1.75411,659.519,693.461
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,1,35.6934,611.416,3.19864,1.03622,647.591,651.344
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,2,35.6721,624.306,3.20501,1.0393,649.022,664.222
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,3,35.9481,615.788,3.18598,1.03517,651.729,655.958
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,4,37.4302,608.356,3.18754,1.03213,644.582,650.006
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,5,37.4303,602.791,3.1764,1.03619,641.362,644.434
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,6,38.0408,599.836,3.18542,1.04339,642.251,642.106
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,7,37.3561,602.57,3.19378,1.03827,636.817,644.158
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,8,37.3342,576.767,3.18021,1.04138,617.08,618.323
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,9,37.93,584.509,3.22414,1.0393,626.861,626.702
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,10,38.365,583.011,3.20833,1.04339,619.366,625.627
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,11,37.35,578.898,3.24354,1.04445,617.533,620.536
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,12,37.5719,583.736,3.1845,1.03011,614.836,625.522
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,13,37.5828,612.096,3.18509,1.03427,654.058,653.898
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,14,37.8453,586.725,3.27581,1.06387,629.077,628.91
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,15,38.0656,585.681,3.22276,1.04442,628.161,628.014
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,16,37.6881,573.274,3.18047,1.0352,611.005,615.178
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,17,37.6298,592.296,3.19563,1.0311,632.479,634.153
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,18,37.7639,589.111,3.17027,1.02906,620.247,631.074
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,19,37.7958,580.8,3.2033,1.0383,612.643,622.837
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,20,37.5993,579.746,3.18219,1.04134,621.708,621.569
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,21,37.2088,593.965,3.18444,1.03414,625.435,635.392
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,22,37.6285,607.934,3.19386,1.03725,649.936,649.794
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,23,37.4148,582.352,3.17956,1.03315,619.296,623.98
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,24,37.4762,582.091,3.18734,1.04442,623.941,623.799
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,25,37.5425,585.394,3.18699,1.03731,627.299,627.161
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,26,37.668,586.955,3.1955,1.03219,628.988,628.85
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,27,37.2155,584.76,3.16968,1.03827,617.821,626.184
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,28,37.1738,578.108,3.19089,1.03734,612.279,619.51
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,29,37.2309,573.098,3.17625,1.03318,609.667,614.539
