dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,0,0.705088,13.0328,1.08224,0.634848,15.5991,15.4549
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,1,0.217696,2.68137,1.0567,0.457728,4.50046,4.41349
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,2,0.216064,2.70236,1.02009,0.454656,4.46644,4.39317
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,3,0.216928,2.69538,1.02235,0.452608,4.47413,4.38726
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,4,0.214848,2.70731,1.02106,0.458752,4.46937,4.40197
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,5,0.215552,2.68117,1.01617,0.45568,4.46224,4.36857
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,6,0.21552,2.66903,1.01633,0.521216,4.51403,4.4221
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,7,0.217248,2.69173,1.02442,0.458752,4.47326,4.39215
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,8,0.218016,2.6747,1.01739,0.454656,4.45197,4.36477
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,9,0.217088,2.67621,1.01918,0.45568,4.46432,4.36816
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,10,0.21744,2.75374,1.02301,0.454656,4.54042,4.44884
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,11,0.21616,2.6922,1.01912,0.456704,4.4819,4.38418
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,12,0.216288,2.67976,1.02021,0.452608,4.45727,4.36886
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,13,0.217536,2.68295,1.01624,0.454656,4.45634,4.37138
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,14,0.215808,2.76793,1.01463,0.453632,4.46114,4.45199
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,15,0.217632,2.69107,1.02002,0.45568,4.46585,4.3844
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,16,0.217888,2.68683,1.015,0.451584,4.45595,4.3713
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,17,0.217728,2.6762,1.0177,0.457728,4.4588,4.36935
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,18,0.218272,2.69764,1.03104,0.457728,4.48514,4.40469
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,19,0.21888,2.6972,1.02303,0.456704,4.4642,4.39581
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,20,0.2192,2.69699,1.0283,0.458752,4.46881,4.40324
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,21,0.215872,2.75729,1.02167,0.45568,4.54403,4.45052
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,22,0.217536,2.692,1.02051,0.453632,4.47206,4.38368
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,23,0.215808,2.76651,1.01929,0.457728,4.55763,4.45934
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,24,0.218912,2.67227,1.04065,0.454656,4.46595,4.38649
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,25,0.216448,2.71479,1.0291,0.454656,4.50788,4.415
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,26,0.217408,2.73382,1.0211,0.453632,4.46268,4.42596
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,27,0.216448,2.67369,1.01296,0.454656,4.44417,4.35776
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,28,0.215776,2.6674,1.02471,0.456704,4.45808,4.36458
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",4,256,29,0.220096,2.70459,1.01546,0.454656,4.45763,4.39479
