dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,0,0.633856,0.395203,1.4426,0.685056,3.26495,3.15672
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,1,0.230144,0.381908,1.43664,0.482304,2.66463,2.531
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,2,0.233184,0.384636,1.41942,0.480256,2.64556,2.5175
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,3,0.231648,0.38433,1.42094,0.483328,2.6516,2.52024
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,4,0.228736,0.382357,1.43138,0.48128,2.65893,2.52375
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,5,0.229952,0.417003,1.43092,0.479232,2.69019,2.55711
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,6,0.231456,0.381098,1.42848,0.48128,2.65018,2.52232
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,7,0.229312,0.381438,1.43121,0.480256,2.65216,2.52221
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,8,0.229632,0.381604,1.42173,0.48128,2.64227,2.51425
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,9,0.229792,0.381062,1.43007,0.4864,2.65833,2.52733
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,10,0.230976,0.379895,1.42692,0.478208,2.64317,2.51599
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,11,0.230112,0.403165,1.42462,0.482304,2.66836,2.5402
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,12,0.233312,0.387222,1.42492,0.48128,2.6531,2.52673
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,13,0.229088,0.382863,1.43239,0.48128,2.65513,2.52562
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,14,0.230272,0.386121,1.433,0.480256,2.65969,2.52965
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,15,0.2304,0.385671,1.42397,0.479232,2.64732,2.51927
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,16,0.229088,0.379916,1.42429,0.480256,2.63994,2.51355
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,17,0.227264,0.384849,1.42892,0.478208,2.6487,2.51925
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,18,0.231008,0.380863,1.43016,0.477184,2.65529,2.51921
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,19,0.234528,0.379917,1.42735,0.479232,2.64953,2.52103
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,20,0.231456,0.3827,1.4317,0.479232,2.65288,2.52508
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,21,0.229024,0.381492,1.43379,0.482304,2.65244,2.52661
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,22,0.230816,0.380918,1.42942,0.48128,2.6533,2.52243
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,23,0.231456,0.379206,1.43159,0.480256,2.65054,2.52251
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,24,0.230432,0.380234,1.44319,0.480256,2.66136,2.53411
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,25,0.229248,0.382132,1.43005,0.480256,2.64833,2.52168
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,26,0.228,0.379244,1.42509,0.479232,2.63674,2.51156
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,27,0.22608,0.381512,1.4287,0.48128,2.64527,2.51757
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,28,0.233504,0.381349,1.431,0.48128,2.65448,2.52714
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",1,161,29,0.23104,0.380169,1.42832,0.482304,2.64838,2.52184
