dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,0,37.331,619.822,3.28134,1.72637,657.185,662.161
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,1,37.3109,589.453,3.19693,1.02602,627.317,630.987
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,2,37.0771,592.801,3.21333,1.01984,630.339,634.111
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,3,37.3335,599.492,3.20901,1.02496,634.736,641.059
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,4,37.2782,594.76,3.2218,1.02496,630.431,636.285
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,5,37.3812,589.767,3.1891,1.01984,630.345,631.357
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,6,37.2839,586.522,3.28282,1.05773,628.136,628.146
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,7,37.769,592.785,3.23271,1.03114,634.962,634.818
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,8,37.3868,583.524,3.22563,1.01984,621.395,625.156
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,9,37.7108,592.573,3.21766,1.05565,634.72,634.557
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,10,38.4978,582.821,3.28997,1.04032,621.793,625.649
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,11,37.2096,579.277,3.22254,1.03005,620.115,620.739
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,12,37.733,576.623,3.21268,1.02499,616.806,618.594
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,13,38.0355,575.105,3.22917,1.02906,617.541,617.398
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,14,38.1613,569.224,3.26002,1.05261,611.871,611.698
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,15,38.099,572.387,3.23579,1.04339,614.911,614.765
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,16,37.9718,583.401,3.21732,1.03213,625.768,625.622
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,17,37.217,602.056,3.18836,1.02189,636.045,643.484
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,18,38.0756,586.579,3.21537,1.03213,629.049,628.902
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,19,37.2906,582.613,3.21353,1.0311,619.244,624.148
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,20,36.1955,610.271,3.19598,1.03322,648.399,650.696
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,21,37.4255,583.683,3.2009,1.02704,624.845,625.336
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,22,38.4751,586.611,3.19091,1.02698,628.288,629.305
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,23,37.1569,589.686,3.20439,1.02298,630.849,631.07
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,24,37.7676,599.619,3.2268,1.02806,641.792,641.641
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,25,37.6218,581.124,3.22495,1.03014,623.143,623.001
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,26,38.0284,581.223,3.21352,1.0311,623.637,623.496
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,27,37.781,585.832,3.20974,1.03312,627.505,627.856
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,28,37.8118,579.031,3.22694,1.03626,621.247,621.106
3,float,uniform,CPU,"P | P | P | P | D | N",6,465,29,37.3901,580.764,3.22659,1.03418,622.563,622.415
