dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,0,16.0495,12.2316,1.03574,0.64512,29.4477,29.962
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,1,15.1372,2.81099,1.01478,0.45568,19.1383,19.4187
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,2,15.1452,2.75954,0.979382,0.454656,18.9315,19.3388
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,3,15.1421,2.77478,0.982901,0.452608,19.1089,19.3524
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,4,15.3346,2.69838,0.999392,0.458752,19.0742,19.4911
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,5,15.0916,2.747,0.990897,0.45568,18.922,19.2852
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,6,15.1755,2.76417,0.99626,0.454656,19.1135,19.3906
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,7,15.2756,2.67056,0.98343,0.453632,19.0314,19.3832
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,8,15.1859,2.67937,0.980571,0.456704,18.8719,19.3025
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,9,15.2167,2.67568,0.993572,0.457728,18.9338,19.3437
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,10,15.2817,2.69099,0.985648,0.453632,19.0365,19.4119
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,11,15.2297,2.67352,0.987673,0.452608,18.9697,19.3435
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,12,15.182,2.70969,0.985521,0.452608,19.055,19.3299
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,13,15.1945,2.74022,0.981853,0.454656,19.0251,19.3712
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,14,15.1853,2.68828,0.985888,0.456704,18.8773,19.3162
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,15,15.3324,2.69568,0.99303,0.453632,19.1722,19.4747
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,16,15.2622,2.76571,0.986499,0.453632,19.0835,19.4681
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,17,15.199,2.681,0.986648,0.461824,19.0623,19.3285
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,18,15.3653,2.71958,0.98431,0.453632,19.1012,19.5228
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,19,15.2665,2.68854,0.981821,0.45568,19.0367,19.3925
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,20,15.2289,2.6798,0.984792,0.453632,19.0527,19.3471
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,21,15.339,2.71503,0.986938,0.457728,19.1622,19.4987
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,22,15.1197,2.67962,0.9915,0.456704,18.9125,19.2476
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,23,15.1569,2.69613,0.992046,0.454656,18.9636,19.2997
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,24,15.1221,2.67315,0.986838,0.452608,18.8504,19.2347
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,25,15.0151,2.71411,0.987143,0.45568,19.0498,19.172
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,26,15.0799,2.67913,0.987167,0.454656,18.8583,19.2009
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,27,15.3916,2.67256,0.986473,0.45568,19.1241,19.5063
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,28,15.1086,2.6755,0.992095,0.456704,18.9248,19.2329
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",4,256,29,14.9961,2.69379,0.992444,0.456704,18.7833,19.139
