dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,0,37.809,0,2226.23,1.03008,2265.25,2265.07
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,1,37.6472,0,1758.87,0.48224,1797.1,1797
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,2,37.9154,0,1765.86,0.49664,1804.41,1804.28
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,3,37.7172,0,1749.12,0.49248,1787.46,1787.33
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,4,37.7154,0,1741.81,0.487392,1780.11,1780.01
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,5,37.6464,0,1748.66,0.480192,1786.89,1786.79
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,6,37.5789,0,1740.76,0.48128,1778.92,1778.82
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,7,37.5326,0,1736.7,0.49664,1774.86,1774.73
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,8,37.57,0,1740.38,0.48032,1778.53,1778.43
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,9,37.7236,0,1750.08,0.48128,1788.4,1788.29
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,10,37.5061,0,1750.17,0.480256,1788.26,1788.16
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,11,37.6827,0,1745.91,0.494592,1784.21,1784.09
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,12,37.5471,0,1747.9,0.48128,1786.03,1785.93
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,13,37.69,0,1737.14,0.478208,1775.4,1775.3
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,14,37.624,0,1741.01,0.478208,1779.22,1779.11
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,15,38.4722,0,1887.53,0.480256,1901.52,1926.49
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,16,37.6828,0,1750.38,0.484352,1788.65,1788.55
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,17,37.7792,0,1750.56,0.48128,1788.93,1788.82
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,18,37.6359,0,1744.06,0.479232,1782.28,1782.17
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,19,37.5798,0,1735.94,0.480256,1774.1,1774
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,20,37.6485,0,1746.47,0.494592,1784.74,1784.61
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,21,37.7674,0,1728.79,0.48128,1767.14,1767.04
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,22,37.4199,0,1735.05,0.48128,1773.06,1772.95
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,23,37.595,0,1743.75,0.480256,1781.93,1781.83
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,24,37.6933,0,1742.97,0.483296,1781.25,1781.15
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,25,37.4878,0,1754.17,0.480256,1792.24,1792.13
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,26,37.583,0,1737.75,0.478208,1775.91,1775.81
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,27,37.6268,0,1748.02,0.48128,1786.23,1786.13
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,28,37.7332,0,1739.92,0.493568,1778.29,1778.15
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,29,37.685,0,1731.39,0.480256,1769.66,1769.56
