dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,0,0.7664,274.167,1.44475,0.741344,275.836,277.119
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,1,0.208224,186.133,1.39175,0.415744,182.281,188.149
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,2,0.209376,190.11,1.38649,0.410624,189.217,192.116
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,3,0.208128,178.745,1.38686,0.4096,174.566,180.749
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,4,0.214816,176.72,1.40841,0.4096,178.802,178.753
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,5,0.20768,180.735,1.39242,0.411648,176.478,182.747
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,6,0.202688,188.317,1.41677,0.40544,187.527,190.342
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,7,0.215008,178.958,1.39279,0.418816,179.643,180.984
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,8,0.209888,184.073,1.38801,0.413696,180.702,186.084
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,9,0.21088,179.545,1.39997,0.415744,181.656,181.572
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,10,0.2088,180.69,1.39043,0.410624,175.485,182.7
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,11,0.20128,184.582,1.39983,0.4096,184.74,186.593
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,12,0.211872,173.476,1.41234,0.412672,175.565,175.513
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,13,0.209664,178.432,1.39207,0.423936,174.093,180.458
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,14,0.20352,179.925,1.42259,0.40752,180.551,181.959
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,15,0.224736,187.169,1.41656,0.411648,189.325,189.221
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,16,0.218112,180.619,1.4222,0.427008,182.794,182.687
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,17,0.2128,178.9,1.39558,0.411648,177.196,180.92
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,18,0.210336,178.984,1.38688,0.411648,180.103,180.993
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,19,0.205408,178.01,1.39358,0.416768,176.65,180.026
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,20,0.2016,179.471,1.42096,0.408576,175.995,181.502
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,21,0.215136,176.288,1.39743,0.416768,178.336,178.317
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,22,0.212544,177.777,1.4137,0.410624,179.863,179.814
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,23,0.224672,181.974,1.39059,0.410624,179.809,184
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,24,0.212384,185.147,1.3896,0.411616,182.558,187.161
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,25,0.210304,190.308,1.39501,0.412704,192.405,192.326
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,26,0.208384,177.412,1.41236,0.416768,179.453,179.449
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,27,0.208512,182.452,1.39298,0.410624,178.986,184.464
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,28,0.211296,362.961,1.52574,0.422816,365.235,365.121
3,float,uniform,GPU,"P | P | P | P | N | D",8,369,29,0.215648,189.831,1.42373,0.418816,191.934,191.89
