dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,0,15.3066,0.394551,1.47218,0.687104,17.9845,17.8605
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,1,14.4147,0.382924,1.45945,0.47616,16.8214,16.7332
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,2,14.125,0.38314,1.44413,0.48128,16.5262,16.4336
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,3,14.3059,0.379782,1.44916,0.480256,16.7043,16.6151
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,4,14.199,0.380476,1.45025,0.480256,16.598,16.51
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,5,14.1441,0.384742,1.46434,0.48128,16.5869,16.4744
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,6,14.1227,0.38196,1.4576,0.479232,16.5316,16.4415
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,7,13.9676,0.385577,1.45728,0.478208,16.3849,16.2886
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,8,13.9542,0.383555,1.45477,0.48128,16.3619,16.2738
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,9,14.1708,0.380042,1.45714,0.477184,16.5758,16.4851
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,10,14.1603,0.38353,1.46726,0.484352,16.5992,16.4955
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,11,14.2248,0.380601,1.46402,0.483328,16.6407,16.5527
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,12,14.0937,0.381636,1.45676,0.478208,16.497,16.4103
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,13,14.1578,0.390589,1.4509,0.480256,16.5673,16.4795
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,14,14.0012,0.38301,1.4551,0.48128,16.411,16.3206
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,15,14.1825,0.381269,1.45563,0.480256,16.5916,16.4996
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,16,13.9208,0.383794,1.44943,0.479232,16.3226,16.2332
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,17,14.342,0.382964,1.45382,0.480256,16.7581,16.659
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,18,13.8754,0.388556,1.45354,0.480256,16.2853,16.1978
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,19,14.1187,0.383213,1.45738,0.48128,16.5297,16.4405
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,20,14.202,0.384178,1.45302,0.478208,16.6055,16.5175
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,21,14.1567,0.39098,1.45259,0.48128,16.5682,16.4816
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,22,14.1737,0.381726,1.45466,0.480256,16.5779,16.4903
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,23,14.2074,0.388604,1.44969,0.484352,16.6145,16.53
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,24,14.063,0.414864,1.48362,0.483328,16.5364,16.4448
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,25,14.2905,0.381442,1.45028,0.480256,16.6879,16.6025
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,26,13.9651,0.381077,1.45466,0.480256,16.3691,16.2811
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,27,14.0734,0.380082,1.45215,0.48128,16.4762,16.3869
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,28,13.922,0.386102,1.45061,0.482304,16.3311,16.241
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,161,29,14.0984,0.384047,1.45018,0.479232,16.5065,16.4119
