dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,0,7.89779,0.228456,0.719856,0.2816,9.23178,9.1277
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,1,6.98944,0.217832,0.701764,0.13824,8.12046,8.04728
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,2,6.90922,0.213532,0.68733,0.141312,8.01937,7.95139
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,3,6.8512,0.213169,0.69925,0.139296,7.97358,7.90292
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,4,6.95978,0.21341,0.701214,0.14336,8.08692,8.01776
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,5,6.91696,0.214066,0.701661,0.139264,8.04431,7.97195
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,6,6.97642,0.213186,0.703141,0.142336,8.11959,8.03508
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,7,7.00963,0.215984,0.7011,0.13824,8.13623,8.06496
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,8,7.23037,0.217516,0.703043,0.140288,8.3697,8.29121
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,9,6.98474,0.214234,0.699037,0.141312,8.10859,8.03932
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,10,6.94301,0.212271,0.698696,0.142336,8.06909,7.99631
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,11,7.08387,0.218923,0.703797,0.144384,8.22114,8.15098
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,12,7.0472,0.215185,0.70322,0.142336,8.18103,8.10794
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,13,7.06061,0.214535,0.703206,0.144384,8.1942,8.12273
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,14,7.10643,0.217008,0.709619,0.140288,8.24943,8.17335
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,15,6.99728,0.213816,0.700208,0.142336,8.12572,8.05364
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,16,7.04266,0.215373,0.706567,0.144384,8.185,8.10898
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,17,6.97107,0.215393,0.705997,0.14336,8.10993,8.03582
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,18,6.9577,0.2136,0.705758,0.140288,8.08995,8.01734
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,19,6.88128,0.216259,0.70127,0.141312,8.01989,7.94012
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,20,6.98893,0.228436,0.703036,0.141312,8.13091,8.06171
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,21,6.88675,0.218098,0.700028,0.140288,8.01438,7.94517
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,22,6.92774,0.213603,0.70017,0.139264,8.05716,7.98078
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,23,6.97165,0.214241,0.704163,0.141312,8.1044,8.03136
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,24,7.09965,0.214003,0.700996,0.141312,8.22596,8.15596
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,25,7.01661,0.215693,0.703853,0.142336,8.14752,8.07849
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,26,6.94704,0.228367,0.700993,0.141312,8.09209,8.01771
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,27,6.99107,0.223236,0.708794,0.142336,8.13582,8.06544
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,28,6.97885,0.217086,0.702796,0.142336,8.17472,8.04107
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,29,7.07366,0.21651,0.701267,0.14336,8.20355,8.1348
