dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,0,12.4331,194.637,1.04102,0.480256,206.105,208.591
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,1,10.8302,113.365,1.01704,0.180192,125.506,125.392
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,2,10.8325,108.095,1.01666,0.172992,119.184,120.117
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,3,10.934,112.604,1.05459,0.180192,124.903,124.773
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,4,10.8951,117.003,1.02259,0.188416,129.228,129.109
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,5,10.9876,116.539,1.03788,0.188416,128.91,128.753
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,6,10.9407,114.902,1.00304,0.172992,126.248,127.018
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,7,10.8402,113.818,1.01479,0.176096,125.958,125.849
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,8,10.9132,310.471,1.00925,0.172032,121.567,322.565
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,9,10.9577,116.207,1.0251,0.173024,127.295,128.363
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,10,10.9537,118.466,1.01306,0.174048,128.061,130.607
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,11,10.9326,118.021,1.01035,0.171968,125.191,130.136
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,12,10.9607,112.097,1.0071,0.176128,121.037,124.241
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,13,10.9531,108.882,1.01118,0.172,118.862,121.018
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,14,10.9157,107.901,1.0231,0.17712,120.147,120.017
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,15,10.9631,117.916,1.00907,0.175104,127.492,130.063
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,16,10.9599,105.82,1.01171,0.171968,115.271,117.964
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,17,10.8211,110.066,1.01439,0.171968,122.189,122.074
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,18,10.9528,108.369,1.02333,0.191488,120.671,120.536
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,19,10.9627,106.922,1.01007,0.171968,115.915,119.067
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,20,10.9371,105.233,1.00637,0.172,113.645,117.349
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,21,10.9091,110.615,1.03193,0.180224,122.879,122.736
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,22,10.969,106.348,1.00735,0.171968,117.572,118.497
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,23,10.9517,107.157,1.02829,0.18736,119.466,119.325
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,24,10.9487,106.94,1.01236,0.172,119.178,119.073
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,25,10.9536,109.531,1.00843,0.172,117.05,121.665
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,26,10.9342,112.894,1.00876,0.171968,116.315,125.009
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,27,10.9312,117.219,1.00648,0.171968,124.443,129.329
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,28,10.855,114.747,1.00602,0.168896,121.078,126.777
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,323,29,10.8544,108.934,1.0072,0.170944,118.396,120.967
