dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,0,0.80624,208.015,1.14958,0.868288,211.043,210.839
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,1,0.181696,113.152,1.06709,0.335808,114.836,114.737
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,2,0.182496,114.095,1.11003,0.338944,115.826,115.726
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,3,0.177728,112.084,1.06968,0.335808,113.597,113.667
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,4,0.18256,110.974,1.095,0.34304,112.7,112.595
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,5,0.180896,122.155,1.08032,0.342976,123.866,123.76
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,6,0.175552,110.657,1.08754,0.34704,112.209,112.267
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,7,0.178336,112.405,1.09605,0.341984,114.126,114.021
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,8,0.184544,108.392,1.0873,0.360448,110.075,110.024
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,9,0.17888,109.405,1.08653,0.334816,111.106,111.005
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,10,0.174496,109.841,1.07118,0.335808,110.561,111.423
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,11,0.17792,106.975,1.07891,0.334816,108.211,108.567
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,12,0.178368,116.473,1.10982,0.334752,114.61,118.096
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,13,0.180224,111.325,1.06466,0.34096,110.617,112.911
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,14,0.181952,114.984,1.07778,0.337856,108.673,116.581
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,15,0.17968,111.825,1.06277,0.337824,113.446,113.405
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,16,0.179712,113.606,1.09666,0.346048,107.499,115.229
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,17,0.17968,110.218,1.09481,0.336864,111.93,111.83
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,18,0.177792,117.771,1.06543,0.336832,115.177,119.351
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,19,0.192448,109.332,1.10308,0.366592,101.125,110.994
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,20,0.183392,117.469,1.06999,0.336896,119.159,119.059
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,21,0.178496,106.063,1.09038,0.332704,107.264,107.664
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,22,0.181504,111.873,1.10261,0.34096,113.601,113.498
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,23,0.1816,106.125,1.09941,0.339904,105.781,107.746
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,24,0.17856,106.342,1.09733,0.336832,108.062,107.955
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,25,0.180192,107.561,1.12118,0.337984,109.299,109.201
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,26,0.175328,317.512,1.07465,0.334784,306.383,319.097
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,27,0.17968,129.139,1.09955,0.355296,130.906,130.773
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,28,0.176128,117.639,1.07745,0.335776,114.009,119.228
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,323,29,0.175616,119.805,1.0918,0.336832,115.272,121.409
