dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,0,64.5645,0,2993.65,1.28202,3059.69,3059.49
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,1,64.7443,0,2469.49,0.755712,2535.1,2534.99
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,2,64.5636,0,2588.79,0.7608,2635.52,2654.11
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,3,63.8229,0,2469.05,0.7424,2533.73,2533.62
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,4,64.4183,0,2470.23,0.75776,2534.92,2535.4
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,5,65.4903,0,2463.2,0.741376,2529.54,2529.43
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,6,63.9654,0,2453.78,0.759808,2518.64,2518.51
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,7,63.398,0,2460.96,0.741376,2525.09,2525.1
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,8,63.6689,0,2604.43,0.746528,2649.23,2668.85
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,9,64.8048,0,2460.21,0.754688,2524.85,2525.76
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,10,63.7795,0,2452.16,0.750624,2516.6,2516.69
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,11,63.6003,0,2451.09,0.746496,2515.54,2515.44
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,12,65.4502,0,2462.21,0.7424,2527.89,2528.41
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,13,63.5151,0,2453.11,0.741376,2517.47,2517.36
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,14,64.3523,0,2456.77,0.750592,2521.88,2521.88
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,15,63.2672,0,2448.87,0.744448,2512.18,2512.88
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,16,63.7173,0,2449.93,0.740352,2513.68,2514.39
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,17,64.942,0,2452.23,0.743424,2518.02,2517.91
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,18,64.3095,0,2447.31,0.738336,2510.6,2512.35
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,19,63.5918,0,2448.84,0.743424,2513.26,2513.18
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,20,63.6177,0,2450.17,0.744448,2514.64,2514.53
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,21,63.5284,0,2577.22,0.743424,2622.01,2641.49
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,22,63.5984,0,2585.3,0.746496,2625.55,2649.65
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,23,64.6843,0,2449.38,0.746496,2513.76,2514.81
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,24,64.8305,0,2493.29,0.746528,2558.97,2558.86
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,25,63.6995,0,2498.9,0.739328,2563.44,2563.33
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,26,63.6214,0,2493.6,0.741376,2556.99,2557.96
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,27,63.676,0,2502.36,0.742336,2566.89,2566.78
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,28,64.277,0,2518.29,0.75264,2582.85,2583.32
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,29,63.4223,0,2487.97,0.752672,2552.27,2552.14
