dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,0,37.7736,492.642,2.21793,1.59338,536.672,534.227
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,1,38.1026,439.729,2.15839,1.24618,483.194,481.236
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,2,38.0311,455.225,2.14619,1.27178,498.54,496.674
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,3,37.4922,447.375,2.15053,1.26662,490.224,488.285
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,4,37.5369,436.016,2.13068,1.28102,478.909,476.965
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,5,37.9171,445.303,2.15155,1.26154,488.566,486.633
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,6,37.7463,444.965,2.13534,1.28307,487.981,486.13
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,7,37.8213,440.206,2.14821,1.26973,483.307,481.445
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,8,37.7373,452.943,2.13432,1.24925,495.928,494.064
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,9,37.5756,444.176,2.16707,1.27485,487.149,485.194
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,10,37.8899,438.824,2.15723,1.29226,482.17,480.163
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,11,38.1161,434.966,2.16761,1.27795,478.457,476.528
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,12,38.1076,451.718,2.12344,1.24003,495.134,493.189
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,13,37.7759,451.556,2.15335,1.2431,494.653,492.729
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,14,38.0843,445.741,2.1406,1.26771,489.208,487.233
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,15,37.6531,440.669,2.13366,1.2431,483.586,481.698
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,16,38.3154,453.341,2.15637,1.27379,496.178,495.087
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,17,38.0582,445.019,2.16777,1.24205,488.474,486.487
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,18,37.7081,428.848,2.15832,1.23085,471.807,469.945
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,19,37.8781,444.253,2.13054,1.26154,487.469,485.523
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,20,38.0708,435.411,2.12807,1.26461,478.852,476.874
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,21,38.0331,428.025,2.1677,1.25443,471.472,469.48
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,22,37.9917,444.552,2.16038,1.26768,488.019,485.972
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,23,37.7329,443.06,2.1417,1.26362,486.124,484.198
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,24,37.6067,441.795,2.15144,1.27283,484.807,482.826
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,25,37.7618,431.949,2.13104,1.26662,474.996,473.108
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,26,37.6757,429.039,2.14216,1.26467,472.029,470.121
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,27,37.8978,435.219,2.15019,1.26058,478.482,476.528
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,28,38.0335,450.078,2.15925,1.29021,493.447,491.561
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,29,38.0892,468.3,2.13752,1.26464,511.783,509.791
