dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,0,67.4293,1221.03,6.67485,2.57539,1297.92,1297.71
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,1,67.5113,1158.01,6.58417,1.8544,1226.68,1233.96
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,2,67.9276,1192.44,6.60271,1.86461,1268.99,1268.84
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,3,68.399,1182.96,6.6308,1.8616,1260.01,1259.85
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,4,67.918,1151.58,6.62751,1.87693,1228.17,1228
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,5,67.9465,1146.42,6.67876,1.87792,1223.07,1222.92
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,6,67.8949,1134.8,6.60632,1.86368,1211.32,1211.16
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,7,68.1158,1138.81,6.64437,1.8657,1215.59,1215.43
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,8,68.6026,1163,6.61878,1.86157,1240.23,1240.08
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,9,67.5416,1163.45,6.55938,1.8616,1229.19,1239.41
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,10,67.9131,1140.42,6.73844,1.89949,1217.15,1216.98
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,11,68.1302,1133.8,6.60726,1.86163,1210.55,1210.4
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,12,67.9074,1121.44,6.62574,1.86362,1197.99,1197.83
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,13,67.9956,1138.36,6.61714,1.86163,1214.98,1214.83
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,14,68.13,1141.86,6.61916,1.86467,1218.66,1218.47
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,15,67.8553,1140.37,6.61935,1.86054,1216.85,1216.7
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,16,67.1123,1166.96,6.53917,1.85648,1238.44,1242.47
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,17,68.0863,1146.31,6.67154,1.8617,1223.08,1222.93
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,18,68.05,1117.2,6.63094,1.8616,1193.9,1193.75
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,19,68.3628,1213.63,6.62047,1.86467,1290.64,1290.48
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,20,68.175,1176.94,6.56727,1.85446,1247.67,1253.53
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,21,67.9989,1141,6.60256,1.86374,1217.63,1217.47
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,22,67.5967,1143.34,6.56497,1.85235,1218.97,1219.36
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,23,68.136,1186.5,6.58202,1.85338,1263.02,1263.07
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,24,68.2053,1170.69,6.56263,1.85136,1245.83,1247.31
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,25,67.8665,1163.46,6.63302,1.86358,1239.98,1239.83
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,26,67.9593,1137.6,6.62048,1.86262,1214.19,1214.05
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,27,68.123,1193.46,6.63032,1.86358,1270.23,1270.08
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,28,68.2008,1152.41,6.56254,1.85341,1228.94,1229.02
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,465,29,67.9219,1237.76,6.60854,1.85846,1314.3,1314.15
