dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,0,0.710848,187.074,1.57298,0.46896,186.936,189.827
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,1,0.195328,103.088,1.56507,0.200704,103.262,105.049
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,2,0.203904,100.449,1.54025,0.201728,102.411,102.395
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,3,0.194464,105.584,1.55633,0.198656,106.792,107.533
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,4,0.196288,102.227,1.564,0.197632,104.045,104.185
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,5,0.206016,98.3169,1.53876,0.1976,100.31,100.259
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,6,0.197984,97.9989,1.55667,0.202752,98.861,99.9563
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,7,0.1944,104.934,1.55969,0.198656,105.718,106.887
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,8,0.195808,95.182,1.56048,0.195584,97.0693,97.1338
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,9,0.195424,102.743,1.55699,0.200704,104.733,104.697
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,10,0.195968,97.1146,1.55892,0.19968,98.0238,99.0691
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,11,0.196192,99.4743,1.55659,0.195552,100.727,101.423
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,12,0.197152,94.8776,1.56088,0.195584,95.529,96.8312
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,13,0.194464,99.5792,1.55554,0.19968,100.746,101.529
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,14,0.19584,103.161,1.55898,0.196576,103.993,105.112
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,15,0.203264,102.813,1.53739,0.203776,104.784,104.757
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,16,0.198368,97.9889,1.55977,0.197632,98.8104,99.9447
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,17,0.198976,105.161,1.5659,0.198624,105.8,107.125
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,18,0.197248,102.563,1.56536,0.199648,103.515,104.525
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,19,0.206528,105.301,1.5593,0.197568,107.279,107.264
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,20,0.196352,99.2048,1.55968,0.197632,100.91,101.158
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,21,0.203456,103.52,1.53999,0.195552,105.477,105.459
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,22,0.2032,95.2018,1.54013,0.195552,97.1524,97.1407
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,23,0.2024,98.1957,1.56642,0.19968,98.6751,100.164
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,24,0.204736,102.891,1.55593,0.195584,104.856,104.847
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,25,0.201728,112.761,1.56126,0.197632,114.736,114.721
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,26,0.200512,97.7558,1.56554,0.201728,99.033,99.7236
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,27,0.198304,101.847,1.56111,0.19968,102.861,103.806
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,28,0.253408,103.341,1.56866,0.209856,105.446,105.373
3,float,uniform,GPU,"D | D | D | D | N | D",8,369,29,0.195424,101.994,1.55934,0.198656,101.753,103.947
