dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,0,0.773728,145.242,1.03723,0.487392,147.55,147.541
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,1,0.179168,71.4743,1.02357,0.178112,72.8692,72.8552
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,2,0.176,77.3792,1.02556,0.175072,78.7615,78.7559
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,3,0.178592,67.7485,1.01803,0.176096,69.1406,69.1212
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,4,0.18112,69.3212,1.02152,0.178144,70.7918,70.702
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,5,0.178432,72.9729,1.02968,0.178112,74.3691,74.3591
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,6,0.178176,68.7178,1.02339,0.179168,70.1956,70.0985
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,7,0.179968,67.988,1.02831,0.18016,69.3853,69.3764
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,8,0.172352,67.5344,1.01804,0.174048,68.9103,68.8988
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,9,0.179104,78.5114,1.01439,0.176096,79.8855,79.8809
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,10,0.179936,71.2303,1.03012,0.175072,72.7006,72.6154
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,11,0.17488,67.4514,1.01501,0.17504,68.8909,68.8164
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,12,0.175744,66.3295,1.01421,0.173024,67.6975,67.6925
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,13,0.175456,72.645,1.0163,0.17504,74.0179,74.0118
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,14,0.177536,69.9488,1.01806,0.172992,71.327,71.3174
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,15,0.178656,68.7408,1.0256,0.176064,70.2151,70.1211
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,16,0.175104,70.1905,1.01884,0.173024,71.6269,71.5574
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,17,0.173632,72.7701,1.01923,0.176096,74.1445,74.139
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,18,0.173632,68.9442,1.02188,0.176064,70.383,70.3158
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,19,0.175744,70.3329,1.01445,0.172,71.7034,71.695
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,20,0.174016,71.8536,1.02151,0.179136,73.309,73.2283
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,21,0.177408,72.2943,1.01868,0.17504,73.7431,73.6654
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,22,0.175008,62.0558,1.01648,0.176064,63.4281,63.4234
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,23,0.178944,69.2704,1.01685,0.176096,70.7181,70.6423
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,24,0.17344,64.9156,1.01548,0.175104,66.2861,66.2796
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,25,0.173088,69.6771,1.01361,0.173024,71.1105,71.0368
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,26,0.177088,66.8727,1.01804,0.174016,68.2473,68.2418
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,27,0.175584,66.1236,1.01637,0.175072,67.4985,67.4906
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,28,0.17664,66.8235,1.01297,0.173024,68.1948,68.1861
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,323,29,0.181184,66.9553,1.02075,0.17712,68.4224,68.3344
