dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,0,0.519712,0.224903,0.882018,0.48128,2.22816,2.10791
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,1,0.143616,0.222311,0.87328,0.284672,1.66139,1.52388
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,2,0.136832,0.213649,0.860002,0.287744,1.63581,1.49823
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,3,0.141344,0.214605,0.865398,0.326656,1.68521,1.548
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,4,0.140352,0.214876,0.87439,0.289792,1.65718,1.51941
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,5,0.13888,0.213839,0.869171,0.288768,1.64507,1.51066
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,6,0.13888,0.212026,0.871346,0.28672,1.64661,1.50897
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,7,0.138336,0.212148,0.873632,0.287744,1.64611,1.51186
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,8,0.138272,0.214116,0.871071,0.288768,1.6468,1.51223
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,9,0.14016,0.212749,0.871942,0.284672,1.6435,1.50952
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,10,0.137824,0.213846,0.873427,0.28672,1.64677,1.51182
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,11,0.137184,0.214721,0.871026,0.293888,1.65189,1.51682
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,12,0.136896,0.211563,0.872628,0.28672,1.64292,1.50781
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,13,0.135648,0.21036,0.869163,0.297984,1.64977,1.51316
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,14,0.13984,0.212292,0.871617,0.289792,1.65738,1.51354
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,15,0.144672,0.214888,0.868657,0.288768,1.65265,1.51699
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,16,0.146944,0.213502,0.867814,0.28672,1.64833,1.51498
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,17,0.141376,0.24676,0.87285,0.287744,1.68522,1.54873
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,18,0.139936,0.21392,0.873343,0.28672,1.68895,1.51392
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,19,0.136224,0.229225,0.869218,0.290816,1.66129,1.52548
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,20,0.135712,0.213997,0.869432,0.28672,1.64072,1.50586
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,21,0.140768,0.214166,0.870826,0.29184,1.65336,1.5176
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,22,0.141472,0.212659,0.869952,0.292864,1.65179,1.51695
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,23,0.140928,0.210477,0.871491,0.283648,1.64307,1.50654
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,24,0.135264,0.213642,0.871377,0.288768,1.64417,1.50905
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,25,0.139744,0.21654,0.868765,0.290816,1.65286,1.51586
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,26,0.146272,0.213565,0.87364,0.285696,1.66588,1.51917
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,27,0.14384,0.212694,0.867167,0.287744,1.64681,1.51145
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,28,0.137536,0.213556,0.866187,0.288768,1.64171,1.50605
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,29,0.144928,0.212927,0.865763,0.283648,1.64488,1.50727
