dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,0,0.584896,11.6881,0.654839,0.4352,13.4872,13.363
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,1,0.130272,2.20809,0.623798,0.260096,3.29284,3.22225
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,2,0.131552,2.18546,0.598724,0.259072,3.26481,3.1748
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,3,0.139872,2.18575,0.592215,0.259072,3.25205,3.17691
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,4,0.131168,2.17911,0.606089,0.263168,3.25803,3.17953
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,5,0.132832,2.18688,0.600035,0.260096,3.25219,3.17984
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,6,0.14,2.17396,0.599171,0.260096,3.26413,3.17323
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,7,0.134112,2.33621,0.609374,0.259072,3.43547,3.33877
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,8,0.137056,2.18057,0.600118,0.260096,3.2479,3.17784
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,9,0.132832,2.21161,0.60111,0.260096,3.29679,3.20565
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,10,0.13408,2.17948,0.604879,0.26112,3.25669,3.17956
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,11,0.133472,2.18358,0.594716,0.263168,3.24044,3.17494
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,12,0.135072,2.18528,0.594429,0.262144,3.2458,3.17692
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,13,0.134304,2.18621,0.593719,0.26112,3.25319,3.17535
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,14,0.135136,2.25536,0.592096,0.257024,3.29373,3.23962
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,15,0.133856,2.3258,0.589274,0.265216,3.26744,3.31415
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,16,0.133504,2.1717,0.596696,0.259072,3.23603,3.16097
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,17,0.134336,2.19519,0.59536,0.262144,3.24848,3.18703
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,18,0.132864,2.17103,0.595879,0.259072,3.24862,3.15885
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,19,0.13344,2.1722,0.597753,0.26112,3.24201,3.16451
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,20,0.133472,2.18372,0.598688,0.259072,3.22509,3.17495
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,21,0.135584,2.18001,0.602128,0.26112,3.24428,3.17884
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,22,0.134528,2.17484,0.590236,0.260096,3.2421,3.1597
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,23,0.131776,2.17387,0.60491,0.26112,3.24092,3.17167
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,24,0.137056,2.17963,0.600401,0.260096,3.24818,3.17719
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,25,0.131936,2.17367,0.598062,0.260096,3.24318,3.16376
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,26,0.134464,2.18341,0.596356,0.260096,3.24875,3.17432
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,27,0.130752,2.16945,0.600333,0.259072,3.246,3.1596
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,28,0.134272,2.16972,0.602647,0.26112,3.24409,3.16776
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,256,29,0.131584,2.17413,0.590166,0.263168,3.23261,3.15905
