dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,0,0.645824,13.1212,0.762618,0.492544,15.7771,15.0222
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,1,0.204352,2.93733,0.759127,0.29184,4.82416,4.19265
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,2,0.202112,2.9405,0.727361,0.28672,4.80225,4.1567
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,3,0.200032,2.97794,0.723026,0.290816,4.83287,4.19181
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,4,0.2032,2.9536,0.725364,0.288768,4.7884,4.17093
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,5,0.201792,2.97067,0.726976,0.287744,4.79125,4.18719
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,6,0.202304,2.99732,0.730324,0.28672,4.81931,4.21667
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,7,0.202112,3.03387,0.724224,0.287744,4.88237,4.24795
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,8,0.202976,3.0203,0.722314,0.288768,4.82308,4.23436
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,9,0.202784,2.94812,0.724078,0.290816,4.80749,4.1658
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,10,0.199488,2.99721,0.726278,0.28672,4.85815,4.20969
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,11,0.2096,2.9447,0.725456,0.28672,4.80163,4.16647
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,12,0.201376,2.94359,0.726184,0.287744,4.78621,4.1589
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,13,0.203328,3.0017,0.72326,0.284672,4.7838,4.21296
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,14,0.205472,2.93778,0.723428,0.287744,4.7831,4.15443
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,15,0.20272,2.93741,0.730351,0.28672,4.78727,4.15721
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,16,0.205536,2.93678,0.726066,0.297984,4.80218,4.16637
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,17,0.205472,2.93931,0.726773,0.289792,4.81334,4.16135
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,18,0.203296,2.95965,0.738738,0.285696,4.81591,4.18738
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,19,0.203872,2.95881,0.73096,0.287744,4.889,4.18138
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,20,0.201696,2.96259,0.722809,0.29184,4.81412,4.17894
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,21,0.204928,2.96731,0.727911,0.287744,4.81245,4.18789
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,22,0.204512,2.96266,0.728543,0.288768,4.8094,4.18449
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,23,0.202592,2.97672,0.73002,0.28976,4.83389,4.19909
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,24,0.203296,2.92266,0.726064,0.28672,4.77111,4.13874
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,25,0.20128,2.92639,0.727946,0.288768,4.77055,4.14439
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,26,0.199648,2.97465,0.720892,0.285696,4.81644,4.18088
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,27,0.203072,2.94053,0.725801,0.285696,4.79159,4.1551
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,28,0.202304,2.95085,0.734526,0.28672,4.80381,4.1744
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,256,29,0.203968,2.92823,0.725541,0.28672,4.77017,4.14446
